Temperature,Fiber orientation,Fiber volume ,Youngs Modulus,Thickness,Width,Length,Max Stress,R,log(Nf)
0.064575973,-1.025213905,-1.449233294,-27.80118015,-0.781894716,-0.096254054,-0.306842061,-1.449233294,2.374382369,6.698970004
0.064575973,-1.025213905,0.578785071,-27.80118015,-0.739268067,-0.108426913,-0.306842061,0.578785071,-0.566791465,3.282168778
-0.327783654,0.881653434,-1.731241872,-0.203849435,0.442652655,-0.099063175,-0.306842061,-1.731241872,2.374382369,5.240963378
0.064575973,-1.025213905,1.292150357,-27.80118015,-0.766394116,-0.073781082,-0.306842061,1.292150357,-0.566791465,2.447158031
0.064575973,0.881653434,0.345821463,-27.80118015,-0.739268067,-0.108426913,-0.306842061,0.345821463,-0.566791465,4.569993888
0.064575973,-1.025213905,1.310564353,-27.80118015,-0.785769866,-0.090635811,-0.306842061,1.310564353,-0.566791465,2.359835482
0.130870884,-1.025213905,0.74185517,-27.80118015,-0.723767467,-0.090635811,-0.306842061,0.74185517,-0.566791465,3.088136089
-0.213120019,0.881653434,-1.954511574,-27.80118015,0.431027205,-0.13464538,-0.282228627,-1.954511574,2.374382369,5.006735521
0.064575973,-1.025213905,-0.467625663,-27.80118015,0.23726971,-0.092508559,-0.306842061,-0.467625663,-0.566791465,4.658945794
0.064575973,0.881653434,0.266676692,-27.80118015,0.423276906,-0.063480971,-0.282228627,0.266676692,-0.272674082,6.139100435
0.064575973,-1.025213905,-0.436861895,-27.80118015,0.167517012,-0.08782669,-0.306842061,-0.436861895,-0.272674082,5.628742353
0.064575973,-1.025213905,-0.466784639,-27.80118015,0.148141262,-0.100935923,-0.306842061,-0.466784639,-0.566791465,3.994449137
0.144360724,-1.025213905,0.209531334,-27.80118015,-0.712142017,-0.160863846,-0.306842061,0.209531334,-0.566791465,5.820594184
0.064575973,0.881653434,0.720652515,-27.80118015,0.423276906,-0.082208447,-0.282228627,0.720652515,-0.406363802,3.547159121
0.064575973,0.881653434,-1.251636953,-27.80118015,0.287646659,-0.089699437,-0.282228627,-1.251636953,-0.967860625,6.52150394
0.481606708,0.881653434,-1.803304337,-27.80118015,0.369024807,-0.077526578,-0.282228627,-1.803304337,2.374382369,5.363745444
0.064575973,-1.025213905,-2.437037944,-27.80118015,-0.754768666,-0.065353718,-0.306842061,-2.437037944,2.374382369,0.602059991
0.064575973,-1.025213905,0.711622575,-27.80118015,-0.824521365,-0.124345268,-0.306842061,0.711622575,-0.272674082,5.726819273
-0.428957449,0.881653434,0.616763937,-27.80118015,0.287646659,-0.109363287,-0.282228627,0.616763937,-0.165722306,4.969000991
-0.017517349,0.881653434,0.265393024,-27.80118015,0.423276906,-0.119663399,-0.282228627,0.265393024,-0.272674082,5.73133972
0.064575973,0.881653434,0.213869246,-27.80118015,0.380650257,-0.076590204,-0.282228627,0.213869246,-0.566791465,3.516931809
0.171340402,0.881653434,-0.141131349,-27.80118015,0.310897558,-0.159927473,1.982207295,-0.141131349,-0.272674082,6.794466087
0.387177832,-1.025213905,-1.175192311,-27.80118015,0.303147258,-0.113108782,-0.306842061,-1.175192311,2.374382369,4.371824907
0.064575973,1.644388505,-0.335952312,-27.80118015,-0.673390518,0.00300157,0.210040052,-0.335952312,-0.272674082,4.4465527
0.064575973,0.881653434,0.820335975,-27.80118015,0.260520609,-0.10280867,-0.282228627,0.820335975,-0.406363802,2.938519725
0.064575973,0.881653434,-0.327661587,-27.80118015,0.279896359,-0.078462952,-0.282228627,-0.327661587,-0.566791465,5.547884188
1.560793856,-1.025213905,0.701751611,-27.80118015,-0.812895915,-0.12247252,-0.306842061,0.701751611,-0.272674082,5.72113186
0.064575973,-1.025213905,1.593546748,-27.80118015,-0.785769866,-0.131836258,-0.306842061,1.593546748,-0.272674082,3.401745082
0.549055904,0.881653434,-0.083985992,-27.80118015,0.272146059,-0.084081194,-0.282228627,-0.083985992,-0.566791465,3.112939976
0.064575973,0.881653434,-0.001742711,-27.80118015,0.400026006,-0.085017568,-0.282228627,-0.001742711,-0.566791465,6.161994432
0.393922752,0.881653434,0.472240627,-27.80118015,0.6557859,-0.070971961,1.982207295,0.472240627,-0.272674082,3.695394108
0.064575973,0.881653434,-0.032772065,-27.80118015,0.307022408,-0.094381306,-0.282228627,-0.032772065,-0.566791465,5.201967615
0.064575973,-1.025213905,-0.373608048,-27.80118015,0.23339456,-0.08782669,-0.306842061,-0.373608048,-0.272674082,1.919078092
-0.017517349,-1.025213905,-0.725510135,-27.80118015,0.22564426,-0.061608223,-0.306842061,-0.725510135,2.374382369,5.731044549
0.064575973,-1.025213905,1.322028836,-27.80118015,-0.793520165,-0.081272073,-0.306842061,1.322028836,-0.566791465,2.477121255
0.064575973,0.881653434,0.985397972,-27.80118015,0.287646659,-0.085017568,-0.282228627,0.985397972,-0.165722306,3.94141204
0.064575973,0.881653434,0.079571016,-27.80118015,0.365149657,-0.08782669,-0.282228627,0.079571016,-0.406363802,6.363288112
2.167836628,-1.025213905,0.63544352,-27.80118015,-0.797395315,-0.125281642,-0.306842061,0.63544352,-0.566791465,4.884846321
0.064575973,0.881653434,0.171862318,-27.80118015,0.25664546,-0.09531768,-0.282228627,0.171862318,-0.406363802,4.878562006
0.049931848,0.881653434,0.122463233,-27.80118015,0.303147258,-0.08782669,-0.306842061,0.122463233,-0.272674082,6.183122016
0.866067129,0.881653434,0.122109117,-27.80118015,0.396150856,-0.082208447,-0.282228627,0.122109117,-0.272674082,6.713273005
