nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,R-value1,Ffatigue,smax,f,E
462,0.17630447477628802,-0.6764276484550528,-0.6228969145178397,-0.33583937511112166,-0.6278963255765404,-0.1499063377991721,-0.6400008956287022,0.2984524046015302,0.2877071328814127,1.3243953029050692,0.5955108114959884
1148,0.14919945569303464,-0.6764276484550528,-0.7495736559238066,1.8486463149949792,-0.6862140761199942,-0.1499063377991721,-0.4022862772523271,0.6650495851013548,0.6957532315841765,1.3243953029050692,0.4217916046901969
2713,-0.09474571605624751,-0.6764276484550528,-0.7242383076426134,1.1204844182929405,-0.684881098964715,-0.1499063377991721,1.7371452881350489,-1.722964448674502,-1.8919628899326975,0.24004598763490856,0.7318135737589945
1093,-0.3460831657373255,-0.6764276484550528,-0.7326834237363443,0.6493208380739814,-0.7095411763373758,-0.1499063377991721,1.7371452881350489,-1.8292776310194512,-2.0203690049090914,0.40686895921493316,0.7487400605759694
2600,0.2995091069728949,-0.6764276484550528,-0.8678052812360427,-0.6356707443413712,-0.8844944279677371,-0.1499063377991721,1.7371452881350489,-1.5345334978975922,-1.7796122951103888,1.3885579842820017,1.1353766541847572
1385,0.3906805347983834,1.557420109950948,1.1590225812594304,0.17815725785502243,1.1559603524755064,-0.1499063377991721,1.7371452881350489,-1.0091997382413438,-0.8182594911923063,-0.1320975643513005,-1.3688525270002734
1159,-0.13170710571522923,-0.6764276484550528,-0.7326834237363443,-1.5779979047792891,-0.7725243469243059,-0.1499063377991721,-0.6400008956287022,0.3633401055499991,0.387274185590516,0.8880890695419278,0.5665576103616901
899,-0.15018780054472097,-0.6764276484550528,-0.6820127271739574,-1.23533348280187,-0.7098744206261952,-0.1499063377991721,-0.6400008956287022,0.3717718407014951,0.3828988661172463,0.8880890695419278,0.7447311558035279
3749,0.17260833581038967,-0.6764276484550528,-0.7495736559238066,1.1204844182929405,-0.7102076649150151,-0.1499063377991721,-0.4022862772523271,1.4301379008044883,1.5389156256864642,0.1694670381202828,0.7638848119385252
1081,-0.29926540550261455,-0.6764276484550528,-0.7833541202987312,-0.03600800588087222,-0.7751903012348638,-0.1499063377991721,-0.6400008956287022,0.7720959618073036,0.8437531685495611,-0.9212985452875713,0.6471811396741218
1320,0.5890399926349205,1.557420109950948,1.446156528446289,0.47798862708527184,1.4535475023915307,-0.1499063377991721,-0.6400008956287022,-0.09527296725528131,-0.19631733963108702,-0.2540066589674724,-1.4387856435861948
1099,-0.08365729915855248,-0.6764276484550528,-0.7411285398300756,0.5636547325796266,-0.7178722835578691,-0.1499063377991721,1.7371452881350489,-1.8864667911774238,-2.0875586935159984,0.24004598763490856,0.7950651823908469
1774,0.5890399926349205,1.557420109950948,1.4123760640713643,0.6064877853267965,1.423222272108935,-0.1499063377991721,-0.4022862772523271,0.028636879753659375,-0.11501248994084869,-1.0239588354906635,-1.4205228551784064
1778,-6.391734467624826,-0.6764276484550528,1.446156528446289,0.3923225215909171,1.451214792369792,-0.1499063377991721,1.7371452881350489,-3.0947710981048457,-2.143258412723537,-1.5629253590568972,0.941167489653154
1295,0.5890399926349205,1.557420109950948,1.4546016445400207,-0.4643385333526615,1.413558187733162,-0.1499063377991721,1.7371452881350489,-0.9072857220623926,-0.7264538747662207,0.40045269107724,-1.5256452469890909
1161,-0.13170710571522923,-0.6764276484550528,-0.6397871467053019,-2.091994537745433,-0.6975443819398653,-0.1499063377991721,-0.6400008956287022,0.658084238671858,0.6917203284175104,-0.6004851384029084,0.5710119489977364
