nr,taverage,waverage,area,Lnominal,smax,Ncycles,smean,smin
1066,6.72,25.22,169.56,150.0,265.39,2.429752280002408,0.0,-265.39
1067,6.7,25.2,168.78,150.0,177.75,4.9217384836845985,0.0,-177.75
1068,6.7,25.24,169.02,150.0,177.49,4.8924007280628645,0.0,-177.49
1069,6.68,25.2,168.36,150.0,148.49,5.556681136961934,0.0,-148.49
1070,6.69,25.3,169.32,150.0,147.65,3.4099331233312946,0.0,-147.65
1071,6.78,25.19,170.73,150.0,146.43,5.6786339934175025,0.0,-146.43
1072,6.72,25.24,169.51,150.0,117.99,6.210390227350943,0.0,-117.99
1073,6.75,25.13,169.73,150.0,117.83,6.434524993364955,0.0,-117.83
1113,7.33,25.08,183.76,610.0,652.53,0.0,326.265,0.0
1114,7.36,25.3,186.31,610.0,618.0,0.0,309.0,0.0
1115,7.28,24.99,181.98,610.0,663.82,0.0,331.91,0.0
1116,7.22,25.02,180.74,610.0,598.36,0.0,299.18,0.0
1117,7.04,25.12,176.79,610.0,661.16,0.0,330.58,0.0
1118,7.4,25.08,185.64,610.0,627.39,0.0,313.695,0.0
1119,7.67,25.35,194.38,610.0,357.23,0.0,178.615,0.0
1120,7.71,25.27,194.88,610.0,349.65,0.0,174.825,0.0
1121,7.53,25.12,189.08,610.0,426.65,0.0,213.325,0.0
1122,7.73,25.41,196.34,610.0,394.11,0.0,197.055,0.0
1123,7.79,25.38,197.74,610.0,353.91,0.0,176.955,0.0
1124,7.53,25.41,191.36,610.0,397.26,0.0,198.63,0.0
1125,7.92,25.17,199.35,610.0,347.84,0.0,173.92,0.0
1126,7.7,25.08,193.04,610.0,360.44,0.0,180.22,0.0
1127,7.96,25.21,200.67,610.0,409.33,0.0,204.665,0.0
1128,7.93,25.08,198.88,610.0,373.23,0.0,186.615,0.0
1129,7.83,25.41,199.01,610.0,464.3,0.0,232.15,0.0
1130,7.85,25.25,198.31,610.0,398.56,0.0,199.28,0.0
1196,6.86,25.28,173.34,150.0,504.37,0.0,252.185,0.0
1197,6.77,25.26,171.09,150.0,508.17,0.0,254.085,0.0
1198,6.86,25.45,174.59,150.0,514.53,0.0,257.265,0.0
1199,6.77,25.27,171.15,150.0,504.58,0.0,252.29,0.0
1200,6.84,25.26,172.78,150.0,522.0,0.0,261.0,0.0
1201,6.79,25.18,170.9,150.0,0.0,0.0,-201.38,-402.76
1202,6.7,25.3,169.56,150.0,0.0,0.0,-214.645,-429.29
1203,6.8,25.24,171.68,150.0,0.0,0.0,-225.21,-450.42
1204,6.68,25.23,168.44,150.0,0.0,0.0,-236.085,-472.17
1205,6.74,25.2,169.9,150.0,0.0,0.0,-245.765,-491.53
1569,6.5,24.9,161.85,610.0,541.24,0.0,270.62,0.0
1570,6.3,25.2,158.76,610.0,574.83,0.0,287.415,0.0
1571,6.4,24.9,159.36,610.0,543.24,0.0,271.62,0.0
1572,6.4,24.9,159.36,610.0,556.41,0.0,278.205,0.0
1573,6.5,24.9,161.85,610.0,531.85,0.0,265.925,0.0
1574,6.0,24.9,149.4,610.0,588.96,0.0,294.48,0.0
1667,6.6,25.23,166.52,150.0,234.38,3.629919035503542,0.0,-234.38
1669,6.61,25.22,166.7,150.0,276.42,2.8615344108590377,0.0,-276.42
1670,6.57,25.29,166.16,150.0,249.83,2.9818186071706636,0.0,-249.83
1673,6.65,25.04,166.52,150.0,150.14,3.66228551572213,0.0,-150.14
1674,6.6,25.26,166.72,150.0,149.96,3.2605483726369795,0.0,-149.96
1675,6.52,25.35,165.28,150.0,-27.148000000000003,4.873558904211726,-149.31400000000002,-271.48
1676,6.63,25.38,168.27,150.0,-29.411,3.743352951409556,-161.7605,-294.11
1677,6.37,25.04,159.5,150.0,-27.786,5.942633482854105,-152.823,-277.86
1678,6.55,25.07,164.21,150.0,-29.773000000000003,4.436194462320936,-163.75150000000002,-297.73
1679,6.64,25.3,167.99,150.0,-29.363999999999997,4.731492065483537,-161.50199999999998,-293.64
1680,6.57,25.15,165.24,150.0,-33.945,3.2979792441593623,-186.6975,-339.45
1681,6.58,25.23,166.01,150.0,-26.901,5.866856571153084,-147.9555,-269.01
1682,6.63,25.32,167.87,150.0,-29.409,4.319647288183423,-161.74949999999998,-294.09
1683,6.6,25.32,167.11,150.0,-33.714,3.187520720836463,-185.427,-337.14
1684,6.64,25.28,167.86,150.0,-26.498,6.676219009391319,-145.739,-264.98
1685,6.59,25.19,166.0,150.0,-32.5,3.362293937964231,-178.75,-325.0
1686,6.66,25.33,168.7,150.0,-27.499000000000002,5.3637454438336505,-151.24450000000002,-274.99
1687,6.58,25.3,166.47,150.0,-29.999000000000002,4.223833277236323,-164.99450000000002,-299.99
1688,6.65,25.15,167.25,150.0,-29.997000000000003,3.6238692683503024,-164.98350000000002,-299.97
1689,6.65,25.19,167.51,150.0,-35.0,2.962369335670021,-192.5,-350.0
1690,6.62,25.21,166.89,150.0,-24.997999999999998,7.007485970552654,-137.48899999999998,-249.97999999999996
1698,6.97,9.88,68.86,126.0,0.0,0.0,-219.1,-438.2
1699,6.88,10.01,68.87,126.0,0.0,0.0,-221.21,-442.42
1700,6.92,10.08,69.75,126.0,0.0,0.0,-215.08,-430.16
1701,6.95,10.03,69.71,126.0,0.0,0.0,-238.68,-477.36
1702,6.83,9.99,68.23,126.0,0.0,0.0,-231.68,-463.36
1703,6.91,10.14,70.07,126.0,0.0,0.0,-223.52,-447.04
1704,6.79,10.02,68.04,126.0,0.0,0.0,-223.2,-446.4
1823,6.79,24.76,168.12,300.0,472.83,0.0,236.415,0.0
1824,6.79,24.71,167.78,300.0,460.03,0.0,230.015,0.0
1825,6.79,24.85,168.73,300.0,466.21,0.0,233.105,0.0
1826,6.79,24.85,168.73,300.0,454.42,0.0,227.21,0.0
1827,6.79,24.69,167.65,300.0,473.59,0.0,236.795,0.0
1828,6.93,24.87,172.35,300.0,454.14,0.0,227.07,0.0
1829,6.95,24.88,172.92,300.0,458.02,0.0,229.01,0.0
1856,6.818,10.086,68.77,126.0,0.0,0.0,-214.785,-429.57
1857,6.922,10.024,69.39,126.0,0.0,0.0,-224.305,-448.61
1858,6.919,10.134,70.12,126.0,0.0,0.0,-227.19,-454.38
1859,6.858,10.167,69.73,126.0,0.0,0.0,-237.215,-474.43
1860,6.838,10.105,69.1,126.0,0.0,0.0,-233.2,-466.4
1861,6.843,10.142,69.4,126.0,0.0,0.0,-218.98,-437.96
1862,6.909,10.073,69.59,126.0,0.0,0.0,-232.4,-464.8
2135,6.49,25.05,162.32,150.0,0.0,0.0,-216.065,-432.13
2136,6.73,25.11,168.53,150.0,0.0,0.0,-210.82,-421.64
2137,6.42,25.09,160.89,150.0,574.7,0.0,287.35,0.0
2138,6.56,25.24,165.44,150.0,466.95,0.0,233.475,0.0
2139,6.57,25.15,164.91,150.0,495.89,0.0,247.945,0.0
2140,6.66,25.17,167.43,150.0,462.24,0.0,231.12,0.0
2141,6.7,25.33,169.51,150.0,485.33,0.0,242.665,0.0
2142,6.29,25.14,157.94,150.0,-33.523,4.439506376888728,-184.37650000000002,-335.23
2143,6.38,25.21,160.52,150.0,-27.508,6.068555040694015,-151.29399999999998,-275.08
2144,6.38,25.06,159.69,150.0,317.73,2.938519725176492,95.319,-127.09200000000001
2145,6.45,25.06,161.38,150.0,-32.698,5.185034756724982,-179.839,-326.98
2146,6.46,25.22,162.6,150.0,-27.156,6.155222134116443,-149.358,-271.56
2147,6.49,25.04,162.32,150.0,-27.083999999999996,6.1419468109259,-148.962,-270.84
2148,6.57,25.33,166.22,150.0,-26.692,6.324799595776807,-146.806,-266.92
2149,6.59,25.4,167.25,150.0,-26.824,4.8823024958187755,-147.532,-268.24
2150,6.64,25.31,167.93,150.0,-29.335,4.996607976784119,-161.3425,-293.35
2151,6.67,25.26,168.22,150.0,-31.582,3.6214878645806303,-173.701,-315.82
2152,6.69,25.38,169.52,150.0,-29.395,5.337932234876929,-161.67249999999999,-293.95
2153,6.69,25.1,167.79,150.0,-31.502999999999997,3.723291446477584,-173.26649999999998,-315.03
2154,6.75,25.19,169.76,150.0,-28.824,4.881555829793312,-158.532,-288.24
2155,6.8,25.16,170.88,150.0,-28.639999999999997,4.316389751073196,-157.51999999999998,-286.4
2156,6.44,24.68,158.61,150.0,239.5,3.390758528738717,0.0,-239.5
2157,6.43,24.8,159.28,150.0,137.76,6.062704171113168,0.0,-137.76
2158,6.45,25.04,161.38,150.0,283.57,2.558708570533166,0.0,-283.57
2159,6.48,25.12,162.52,150.0,186.58,4.224481265303632,0.0,-186.58
2160,6.61,25.26,166.7,150.0,182.79,4.71218654396046,0.0,-182.79
2161,6.64,25.26,167.4,150.0,233.35,3.1789769472931693,0.0,-233.35
2162,6.69,25.18,168.25,150.0,132.88,5.912473417424488,0.0,-132.88
2163,6.7,25.25,168.71,150.0,180.4,3.8069935136821074,0.0,-180.4
2164,6.71,25.19,168.7,150.0,180.23,5.052347599224664,0.0,-180.23
2165,6.73,25.18,169.33,150.0,230.19,3.0989896394011773,0.0,-230.19
2166,6.74,25.19,169.45,150.0,268.83,2.6127838567197355,0.0,-268.83
2167,6.75,25.26,170.37,150.0,179.11,4.614053105987219,0.0,-179.11
2168,6.77,25.18,170.14,150.0,270.21,3.5921767573958667,0.0,-270.21
2169,6.83,25.09,171.16,150.0,226.7,3.830203598925704,0.0,-226.7
2170,6.85,25.02,171.32,150.0,226.21,2.973589623427257,0.0,-226.21
2171,6.3,25.19,158.51,150.0,243.91,3.8374621714859947,73.173,-97.564
2172,6.36,25.13,159.51,150.0,170.84,5.002938893242647,51.252,-68.336
2173,6.37,25.14,159.89,150.0,171.23,4.878562006091662,51.36899999999999,-68.492
2174,6.54,25.41,165.79,150.0,306.53,3.3188977146274867,91.95899999999999,-122.612
2175,6.58,25.2,165.75,150.0,233.99,4.292100938480419,70.197,-93.596
2176,6.61,25.33,167.11,150.0,164.4,5.7544721837301305,49.32,-65.76
2177,6.61,25.35,167.43,150.0,232.75,4.361746717975897,69.825,-93.1
2178,6.67,25.36,168.89,150.0,230.78,4.503477442436995,69.234,-92.31200000000001
2179,6.67,25.25,168.28,150.0,187.04,5.696915281411643,56.111999999999995,-74.816
2180,6.69,25.32,169.19,150.0,229.65,4.421965688225113,68.895,-91.86000000000001
2181,6.73,25.34,170.27,150.0,297.94,3.7204074008031087,89.38199999999999,-119.17600000000002
2182,6.75,25.23,169.84,150.0,161.04,6.1272282630504025,48.312,-64.416
2183,6.77,25.19,170.21,150.0,227.14,4.786353846576917,68.142,-90.856
2184,6.8,25.28,171.57,150.0,295.21,3.5471591213274176,88.56299999999999,-118.084
2272,7.43,25.96,192.88,610.0,448.04,0.0,224.02,0.0
2273,7.34,25.97,190.52,610.0,423.43,0.0,211.715,0.0
2274,7.49,25.91,193.93,610.0,451.53,0.0,225.765,0.0
2275,7.54,25.92,195.51,610.0,394.29,0.0,197.145,0.0
2276,7.47,25.86,193.15,610.0,454.69,0.0,227.345,0.0
2277,7.54,25.9,195.27,610.0,485.54,0.0,242.77,0.0
2278,7.48,25.89,193.52,610.0,453.98,0.0,226.99,0.0
2280,6.79,25.42,172.63,150.0,512.53,0.0,256.265,0.0
2281,6.35,25.3,160.76,610.0,626.48,0.0,313.24,0.0
2282,6.29,25.19,158.52,610.0,642.02,0.0,321.01,0.0
2283,6.31,25.32,159.88,610.0,627.88,0.0,313.94,0.0
2284,6.38,25.26,161.22,610.0,645.19,0.0,322.595,0.0
2285,6.33,25.41,160.87,610.0,616.8,0.0,308.4,0.0
2286,6.37,25.12,160.01,150.0,249.98,3.878923733967567,74.994,-99.99199999999999
2287,6.3,25.1,158.13,150.0,225.0,4.116275587580544,67.5,-90.0
2288,6.41,25.22,161.66,150.0,159.66,4.035949779536674,47.897999999999996,-63.864000000000004
2289,6.43,25.23,162.23,150.0,183.51,4.843650048599647,55.053,-73.404
2290,6.42,25.28,162.3,150.0,168.21,5.066255090442671,50.463,-67.284
2291,6.65,25.22,167.71,150.0,150.38,6.363288112367281,45.114,-60.152
2292,6.6,25.2,166.32,150.0,330.27,3.3550682063488506,99.08099999999999,-132.108
2293,6.68,25.27,168.8,150.0,279.91,4.161936705245781,83.973,-111.96400000000003
2294,6.63,25.22,167.21,150.0,239.82,4.566425706567533,71.946,-95.928
2295,6.64,25.33,168.19,150.0,213.86,5.015598635505834,64.158,-85.54400000000001
2297,6.75,25.27,170.57,150.0,210.0,4.795038408286419,63.0,-84.0
2298,6.68,25.28,168.85,150.0,133.2,5.287187911368403,0.0,-133.2
2299,6.73,25.26,169.99,150.0,132.13,5.365458032514468,0.0,-132.13
2300,6.74,25.19,169.78,150.0,179.53,4.2534833920870145,0.0,-179.53
2301,6.72,25.21,169.27,150.0,180.09,4.5009770535891995,0.0,-180.09
2302,6.72,25.17,169.02,150.0,-26.199,4.998097974154078,-144.0945,-261.99
2369,6.67,25.29,168.68,150.0,535.4,0.0,267.7,0.0
2370,6.74,25.23,170.05,150.0,542.46,0.0,271.23,0.0
2371,6.65,25.29,168.18,150.0,538.42,0.0,269.21,0.0
2372,6.7,25.3,169.51,150.0,534.34,0.0,267.17,0.0
2373,6.77,25.2,170.6,150.0,538.28,0.0,269.14,0.0
2434,6.41,24.88,159.16,150.0,645.22,0.0,322.61,0.0
2435,6.47,25.43,164.47,150.0,724.17,0.0,362.085,0.0
2436,6.33,25.5,161.22,150.0,731.92,0.0,365.96,0.0
2437,6.38,25.42,161.99,150.0,713.84,0.0,356.92,0.0
2438,6.4,25.48,162.94,150.0,723.27,0.0,361.635,0.0
2439,6.64,25.08,166.53,150.0,526.74,0.0,263.37,0.0
2443,6.54,25.29,165.27,150.0,664.6,0.0,332.3,0.0
2444,6.4,25.01,160.0,150.0,348.11,4.185202065187894,261.0825,174.05499999999995
2445,6.49,25.03,161.99,150.0,342.78,4.288047909592119,257.085,171.39
2446,6.44,24.8,159.59,150.0,274.83,5.187506620137363,206.1225,137.41500000000002
2447,6.38,24.97,159.18,150.0,278.33,4.8782344686750445,208.7475,139.16500000000002
2456,6.49,25.12,162.96,150.0,147.16,2.0211892990699383,-110.37,-367.9
2457,6.47,25.12,162.14,150.0,94.88,5.285896960957969,-71.16,-237.2
2458,6.36,25.0,158.87,150.0,126.3,3.017450729510536,-94.725,-315.75
2460,6.36,25.2,160.08,150.0,81.18,6.164439705996086,-60.885000000000005,-202.95000000000002
2467,7.4,25.97,192.06,610.0,453.73,0.0,226.865,0.0
2468,7.37,25.9,190.92,610.0,415.9,0.0,207.95,0.0
2469,7.22,25.97,187.64,610.0,446.2,0.0,223.1,0.0
2536,6.53,25.29,165.36,610.0,558.21,0.0,279.105,0.0
2537,6.42,25.77,164.67,610.0,617.47,0.0,308.735,0.0
2538,6.46,25.75,165.32,610.0,607.95,0.0,303.975,0.0
2539,6.47,25.98,166.73,610.0,632.0,0.0,316.0,0.0
2540,6.45,25.96,166.02,610.0,597.31,0.0,298.655,0.0
2541,6.31,25.63,160.9,610.0,625.95,0.0,312.975,0.0
2542,6.32,25.62,161.67,610.0,639.62,0.0,319.81,0.0
2543,7.09,24.74,188.0,610.0,449.5,0.0,224.75,0.0
2544,7.12,24.73,188.94,610.0,422.27,0.0,211.135,0.0
2545,7.06,24.79,188.82,610.0,469.68,0.0,234.84,0.0
2546,7.11,24.78,189.15,610.0,412.57,0.0,206.285,0.0
2547,7.05,24.76,187.58,610.0,483.4,0.0,241.7,0.0
2548,6.84,24.8,183.99,610.0,455.86,0.0,227.93,0.0
2549,6.85,24.8,183.2,610.0,437.4,0.0,218.7,0.0
2550,6.88,24.93,185.68,610.0,442.87,0.0,221.435,0.0
2551,6.89,24.9,186.2,610.0,475.6,0.0,237.8,0.0
2552,6.98,24.76,186.59,610.0,467.79,0.0,233.895,0.0
2553,7.19,25.9,196.04,610.0,449.91,0.0,224.955,0.0
2554,7.22,25.97,197.66,610.0,426.3,0.0,213.15,0.0
2555,7.24,25.96,199.09,610.0,433.16,0.0,216.58,0.0
2556,7.21,25.96,198.57,610.0,398.26,0.0,199.13,0.0
2557,7.23,25.91,196.3,610.0,426.32,0.0,213.16,0.0
2558,6.73,25.66,191.98,610.0,452.01,0.0,226.005,0.0
2559,6.68,25.67,191.13,610.0,474.46,0.0,237.23,0.0
2560,6.74,25.69,193.68,610.0,462.67,0.0,231.335,0.0
2561,6.75,25.63,192.53,610.0,439.2,0.0,219.6,0.0
2562,6.71,25.6,190.9,610.0,429.7,0.0,214.85,0.0
2563,7.55,25.71,200.8,610.0,476.3,0.0,238.15,0.0
2564,7.47,25.88,198.09,610.0,455.71,0.0,227.855,0.0
2565,7.43,25.87,198.24,610.0,433.07,0.0,216.535,0.0
2566,7.44,25.89,197.98,610.0,450.31,0.0,225.155,0.0
2567,7.47,25.92,198.51,610.0,434.93,0.0,217.465,0.0
2568,6.6,25.46,187.02,610.0,473.19,0.0,236.595,0.0
2569,6.68,25.48,188.15,610.0,465.46,0.0,232.73,0.0
2570,6.63,25.43,187.8,610.0,477.24,0.0,238.62,0.0
2571,6.59,25.48,186.4,610.0,476.78,0.0,238.39,0.0
2572,6.59,25.4,185.73,610.0,509.41,0.0,254.705,0.0
2601,6.4,25.08,161.15,150.0,126.08,4.374766670285203,-94.56,-315.2
2602,6.84,25.08,171.56,150.0,-219.34,3.772028165324855,-329.01,-438.67999999999995
2605,6.8,24.95,169.86,150.0,-206.295,4.875645719848249,-309.4425,-412.59000000000003
2606,6.88,24.96,171.92,150.0,-203.74,5.3661034231187825,-305.61,-407.48
2607,6.92,24.98,173.0,150.0,-219.875,4.4919496945765545,-329.8125,-439.75
2608,6.83,25.5,174.04,150.0,294.13,3.5485122563410356,88.23899999999999,-117.65200000000002
2609,6.47,24.92,161.04,150.0,187.27,4.099715162351024,0.0,-187.27
2610,6.52,25.27,164.5,150.0,-26.913,6.129281824572188,-148.0215,-269.13
