nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,R-value1,Fmax,smax,Ncycles,f,E,Temp.
647,53.31,0.0,3.8,25.0,95.0,145.0,-1.0,25.0,263.16,3.2821687783046416,5.0,37.25,28.12142857142857
648,53.31,0.0,3.8,25.0,95.0,145.0,1.0,73.74,776.18,0.0,0.0,38.2,28.12142857142857
650,53.31,0.0,3.8,25.0,95.0,145.0,-1.0,20.0,210.53,4.413450651007325,5.0,37.55,28.12142857142857
651,53.31,0.0,3.8,25.1,95.38,145.0,-1.0,20.0,209.69,4.536987475130602,5.0,37.75,28.12142857142857
652,53.31,0.0,3.8,25.1,95.38,145.0,1.0,75.08,787.17,0.0,0.0,36.2,28.12142857142857
653,53.31,0.0,3.8,25.0,95.0,145.0,-1.0,25.0,263.16,2.9628426812012423,5.0,37.35,28.12142857142857
654,53.31,0.0,3.8,25.0,95.0,145.0,-1.0,18.0,189.47,5.168332455625744,5.0,37.5,28.12142857142857
655,50.81,0.0,3.7,24.7,91.39,145.0,1.0,-43.32,-474.04,0.0,0.0,38.96,28.12142857142857
656,50.81,0.0,3.7,25.0,92.5,145.0,1.0,-42.3,-457.32,0.0,0.0,39.43,28.12142857142857
657,50.81,0.0,3.7,24.8,91.76,145.0,1.0,-42.7,-465.34,0.0,0.0,38.9,28.12142857142857
658,52.32,0.0,3.8,24.8,94.24,145.0,1.0,-43.04,-456.75,0.0,0.0,37.76,28.12142857142857
659,52.32,0.0,3.7,24.7,91.39,145.0,-1.0,27.83,304.52,2.630427875025024,5.0,37.945,28.12142857142857
660,52.32,0.0,3.7,24.9,92.13,145.0,-1.0,16.7,181.24,5.804564655426015,5.0,39.195,28.12142857142857
661,52.32,0.0,3.7,24.4,90.28,145.0,-1.0,23.19,256.89,3.387389826338729,5.0,39.099999999999994,28.12142857142857
662,52.32,0.0,3.7,24.7,91.39,145.0,-1.0,23.19,253.77,3.36285930295868,5.0,39.335,28.12142857142857
663,52.32,0.0,3.8,24.5,93.1,145.0,1.0,67.9,729.31,0.0,0.0,37.01,28.12142857142857
664,52.32,0.0,3.8,24.7,93.86,145.0,1.0,79.31,845.02,0.0,0.0,39.33,28.12142857142857
665,52.32,0.0,3.7,24.8,91.76,145.0,-1.0,16.7,181.98,5.833532767592629,5.0,38.635000000000005,28.12142857142857
666,52.32,0.0,3.8,24.8,94.24,145.0,1.0,-41.94,-445.08,0.0,0.0,38.41,28.12142857142857
667,52.32,0.0,3.7,24.8,91.76,145.0,1.0,-40.68,-443.29,0.0,0.0,39.52,28.12142857142857
668,52.32,0.0,3.7,25.0,92.5,145.0,-1.0,32.47,351.01,3.4316853446860116,1.0,39.379999999999995,28.12142857142857
669,52.32,0.0,3.8,24.8,94.24,145.0,-1.0,23.19,246.09,3.55339751012388,5.0,37.480000000000004,28.12142857142857
670,52.32,0.0,3.7,24.7,91.39,145.0,-1.0,30.0,328.26,3.362670929725667,1.0,38.55,28.12142857142857
671,52.32,0.0,3.8,24.8,94.24,145.0,1.0,-41.0,-435.06,0.0,0.0,37.97,28.12142857142857
