nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,R-value1,Fmax,smax,Ncycles,f,E,Temp.,stens,ftens,scomp,fcomp
943,49.49,0.0,3.79,24.98,94.57,-1.0,17.0,179.75,5.910061698508087,4.33,38.35,29.984285714285715,796.99,75.06,-524.6,-49.97
944,49.49,0.0,3.84,24.86,95.5,-1.0,25.0,261.78,4.563516681843913,2.0,38.475,30.0,698.83,66.4,-510.78,-49.57
955,49.07,0.0,3.85,25.2,96.93,-1.0,17.0,175.38,6.152307000294602,4.32,37.735,34.3,695.03,66.66,-510.78,-49.57
1075,52.55,0.0,3.78,24.9,94.12,-1.0,18.0,191.24,5.502153892871361,5.0,35.875,31.42941176470588,812.77,76.6,-456.75,-43.04
1078,49.45,0.0,3.88,25.31,98.19,-1.0,29.46,300.0,4.107515225651465,1.5,37.349999999999994,30.4,695.03,66.66,-510.78,-49.57
1079,49.45,0.0,3.84,25.19,96.65,-1.0,28.99,300.0,3.0881360887005513,2.0,36.04,30.4,695.03,66.66,-510.78,-49.57
1080,49.45,0.0,3.85,25.28,97.43,-1.0,29.23,300.0,3.3811150807098507,1.75,32.655,32.0,695.03,66.66,-510.78,-49.57
1081,49.45,0.0,3.71,25.07,93.08,-1.0,27.92,300.0,4.2069607291557105,1.5,38.129999999999995,29.3,825.4,76.27,-514.38,-48.86
1082,49.45,0.0,3.88,25.25,97.97,-1.0,25.0,255.18,4.701403906447556,2.0,36.24,29.8,695.03,66.66,-510.78,-49.57
1083,49.45,0.0,3.83,25.21,96.64,-1.0,35.0,362.18,3.197280558125619,1.02,35.349999999999994,28.1,695.03,66.66,-510.78,-49.57
1084,49.45,0.0,3.84,25.35,97.42,-1.0,35.0,359.29,2.7558748556724915,1.02,35.224999999999994,34.9,695.03,66.66,-510.78,-49.57
1086,49.45,0.0,3.8,25.28,96.08,-1.0,25.0,260.21,4.547602429785681,2.0,36.685,28.5,695.03,66.66,-529.59,-50.82
1087,50.65,0.0,3.77,25.02,94.24,-1.0,25.0,265.27,4.31722734917642,2.0,37.0,29.2,811.34,76.46,-450.76,-42.48
1089,53.09,0.0,3.73,25.46,95.06,-1.0,17.0,178.83,5.9994772292285665,4.33,34.655,28.0,831.58,78.72,-460.12,-42.33
1091,51.2,0.0,3.74,25.21,94.37,10.0,-44.31,-469.48,5.296281174399547,3.35,38.79,29.984285714285715,801.95,76.27,-457.32,-42.3
1092,51.2,0.0,3.7,25.28,93.46,10.0,-43.97,-470.47,3.3027637084729817,3.31,39.29,29.984285714285715,919.9,86.13,-457.32,-42.3
1093,49.07,0.0,3.77,25.23,95.05,10.0,-43.04,-452.8,3.749427099121749,3.57,39.27,31.5,796.99,75.06,-514.38,-48.86
1094,49.07,0.0,3.82,25.16,96.19,10.0,-43.55,-452.77,4.203848463746235,3.57,37.13,32.0,695.03,66.66,-529.46,-51.21
1095,49.07,0.0,3.87,25.13,97.25,10.0,-40.81,-419.63,5.927176273204661,4.16,38.58,33.8,695.03,66.66,-510.78,-49.57
1098,49.49,0.0,3.85,24.89,95.89,10.0,-45.11,-470.44,2.6711728427150834,3.31,39.33,29.984285714285715,698.83,66.4,-510.78,-49.57
1099,51.2,0.0,3.76,25.21,94.8,10.0,-44.6,-470.46,2.5998830720736876,3.31,39.79,29.984285714285715,801.95,76.27,-514.38,-48.86
1100,51.2,0.0,3.72,25.26,93.89,10.0,-43.76,-466.07,3.516403148447403,3.37,39.92,29.984285714285715,801.95,76.27,-457.32,-42.3
1104,56.66,90.0,6.36,25.13,159.77,10.0,-23.03,-144.17,3.562768543016519,3.0,13.8,29.984285714285715,58.34,9.23,-163.39,-26.09
1105,56.66,90.0,6.3,25.03,157.74,10.0,-24.68,-156.47,2.7573960287930244,2.59,14.2,30.4,57.5,9.0,-164.05,-25.88
1106,56.66,90.0,6.39,24.85,158.72,10.0,-25.01,-157.59,2.754348335711019,2.59,14.6,28.8,57.5,9.0,-94.01,-15.01
1144,53.09,0.0,3.73,25.44,94.89,-1.0,17.0,179.15,6.16370241453279,4.33,35.735,26.5,831.58,78.72,-460.12,-42.33
1145,53.09,0.0,3.65,25.44,92.78,0.1,45.0,485.0,3.723044991643445,2.16,35.58,26.8,920.42,86.18,-425.33,-39.16
1146,53.09,0.0,3.74,25.39,94.97,0.1,55.0,579.12,3.083860800866573,1.5,36.84,26.3,839.48,79.74,-460.12,-42.33
1148,53.09,0.0,3.75,25.51,95.75,0.1,25.0,261.1,5.518799427546235,5.0,35.6,25.0,798.89,75.95,-460.12,-42.33
1149,53.09,0.0,3.72,25.48,94.8,0.1,20.0,210.97,5.268170629834625,5.0,36.36,23.0,831.58,78.72,-587.26,-55.06
1150,53.54,0.0,3.79,25.56,96.79,10.0,-20.0,-206.64,5.395925428467096,5.0,35.22,23.3,840.4,80.3,-445.97,-42.65
1151,53.09,0.0,3.7,25.53,94.47,10.0,-40.0,-423.4,0.0,2.73,36.7,22.9,814.56,76.1,-587.26,-55.06
1152,53.09,0.0,3.77,25.22,95.07,10.0,-30.0,-315.57,5.787825185380205,3.57,35.94,26.0,823.85,78.3,-397.56,-37.77
1153,53.09,0.0,3.75,25.49,95.5,10.0,-35.0,-366.48,5.654339251455213,3.57,35.62,27.6,798.89,75.95,-460.12,-42.33
1154,53.54,0.0,3.76,25.46,95.66,10.0,-40.0,-418.16,0.6020599913279624,2.73,34.21,21.5,840.4,80.3,-445.97,-42.65
