nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,Fmax,smax,E
1229,56.66,90.0,6.2,25.03,155.08,145.0,9.14,58.92,14.71
1230,56.66,90.0,6.17,25.16,155.3,145.0,8.59,55.31,15.21
1231,56.66,90.0,6.21,25.14,156.18,145.0,8.96,57.37,14.93
1232,56.66,90.0,6.29,24.9,156.54,145.0,9.0,57.5,14.49
1233,56.66,90.0,6.16,25.16,155.09,145.0,8.72,56.23,15.08
1234,56.66,90.0,6.28,25.19,158.17,145.0,9.23,58.34,14.48
1347,52.58,0.0,3.87,25.3,97.91,300.0,65.38,667.7,34.77
1348,52.58,0.0,3.8,24.99,94.96,300.0,61.53,647.89,38.66
1349,52.58,0.0,3.86,25.03,96.62,300.0,65.68,679.75,38.52
1350,52.58,0.0,3.69,24.86,91.73,300.0,55.5,605.01,40.04
1351,52.58,0.0,3.82,24.89,95.08,300.0,59.88,629.73,37.82
1352,52.58,0.0,3.85,25.05,96.44,300.0,49.93,517.67,38.72
1353,52.58,0.0,3.94,24.95,98.3,300.0,59.88,609.09,36.35
1354,52.58,0.0,3.81,25.06,95.48,300.0,60.0,628.41,37.23
1355,54.57,90.0,3.77,24.78,93.42,300.0,5.02,53.68,11.44
1356,54.57,90.0,3.78,24.91,94.16,300.0,5.06,53.74,11.78
1357,54.57,90.0,3.77,24.87,93.76,300.0,5.17,55.14,11.57
1359,54.57,90.0,3.81,24.94,95.02,300.0,4.73,49.73,12.29
1360,54.57,90.0,3.81,24.9,94.87,300.0,5.07,53.44,13.05
1364,54.57,90.0,3.83,25.05,95.94,300.0,5.1,53.16,12.85
1435,56.59,10.0,6.24,25.23,157.35,145.0,61.4,390.21,35.87
1436,56.59,10.0,6.22,25.21,156.72,145.0,59.94,382.43,34.08
1437,56.59,10.0,6.19,25.22,156.03,145.0,60.68,388.93,37.89
1438,56.59,10.0,6.24,25.15,156.96,145.0,65.34,416.32,35.98
1439,56.59,10.0,6.14,25.24,154.99,145.0,60.72,391.78,37.24
1447,56.59,10.0,6.17,25.23,155.65,145.0,-59.3,-380.96,35.43
1448,56.59,10.0,6.15,25.22,155.21,145.0,-57.77,-372.21,37.03
1449,56.59,10.0,6.18,25.21,155.73,145.0,-58.6,-376.26,36.19
1450,56.59,10.0,6.18,25.19,155.59,145.0,-59.64,-383.31,35.91
1451,56.59,10.0,6.13,24.98,153.02,145.0,-58.5,-382.27,36.75
1457,56.59,60.0,6.1,25.24,153.98,145.0,12.08,78.47,14.13
1458,56.59,60.0,6.12,25.25,154.51,145.0,-23.64,-153.01,13.9
