nr,Fibre Volume Fraction,taverage,waverage,area,R-value1,Fmax,smax,Ncycles,f,E,Temp.,stens,ftens,scomp,fcomp
2177,52.42,6.61,25.35,167.43,-0.4,39.0,232.75,4.361746717975897,0.8,26.65,28.299625468164795,534.53,89.61,-472.22,-78.85
2178,52.83,6.67,25.36,168.89,-0.4,39.0,230.78,4.503477442436995,1.5,25.8,28.299625468164795,547.35,92.78,-458.05,-77.64
2181,52.83,6.73,25.34,170.27,-0.4,50.8,297.94,3.7204074008031087,0.45,26.075,28.299625468164795,547.35,92.78,-458.05,-77.64
2182,50.61,6.75,25.23,169.84,-0.4,27.4,161.04,6.1272282630504025,3.1,27.55,28.299625468164795,649.9456603,109.8,-457.07,-76.9
2185,54.11,6.43,25.21,161.85,0.1,56.1,346.35,3.330210784571528,2.1,29.25,28.299625468164795,645.22,102.84,-432.13,-70.2
2186,51.54,6.71,25.08,167.89,0.1,44.3,263.44,4.9932598314367365,3.34,26.65,28.299625468164795,485.33,82.35,-421.64,-71.2
2286,54.11,6.37,25.12,160.01,-0.4,40.0,249.98,3.878923733967567,1.45,28.28,35.27916666666667,645.22,102.84,-432.13,-70.2
2287,54.11,6.3,25.1,158.13,-0.4,35.58,225.0,4.116275587580544,1.8,28.825,35.27916666666667,731.92,118.1,-432.13,-70.2
2288,54.11,6.41,25.22,161.66,-0.4,25.81,159.66,4.035949779536674,1.8,29.51,35.27916666666667,645.22,102.84,-432.13,-70.2
2289,53.26,6.43,25.23,162.23,-0.4,29.77,183.51,4.843650048599647,2.61,28.770000000000003,35.27916666666667,595.73,96.74,-480.04,-79.84
2290,53.26,6.42,25.28,162.3,-0.4,27.3,168.21,5.066255090442671,3.11,29.130000000000003,35.27916666666667,549.35,90.34,-480.04,-79.84
2291,52.89,6.65,25.22,167.71,-0.4,25.22,150.38,6.363288112367281,3.63,26.905,35.27916666666667,498.85,83.82,-472.17,-79.53
2292,52.89,6.6,25.2,166.32,-0.4,54.93,330.27,3.3550682063488506,0.76,25.975,35.27916666666667,495.89,81.86,-480.04,-79.84
2293,52.89,6.68,25.27,168.8,-0.4,47.25,279.91,4.161936705245781,1.03,26.55,35.27916666666667,547.35,92.78,-472.17,-79.53
2294,51.76,6.63,25.22,167.21,-0.4,40.1,239.82,4.566425706567533,1.45,26.605,35.27916666666667,520.32,87.02,-469.5,-79.58
2295,51.76,6.64,25.33,168.19,-0.4,35.97,213.86,5.015598635505834,1.8,27.52,35.27916666666667,513.61,86.78,-469.5,-79.58
2297,52.16,6.75,25.27,170.57,-0.4,35.82,210.0,4.795038408286419,1.8,27.6,35.27916666666667,520.81,89.11,-463.64,-79.18
2448,54.96,6.45,25.04,161.38,0.1,44.27,274.21,4.159717546180215,3.34,30.5,28.299625468164795,645.22,102.84,-432.13,-70.2
2449,54.11,6.44,25.07,161.13,0.1,44.3,274.6,4.037864555774374,3.34,28.85,28.299625468164795,645.22,102.84,-432.13,-70.2
2450,54.11,6.45,24.75,159.51,0.1,43.7,273.8,4.0277979433503,3.34,28.75,28.299625468164795,645.22,102.84,-432.13,-70.2
2453,50.61,6.76,25.17,169.88,0.1,44.42,261.12,4.865180991389705,3.34,27.0,28.299625468164795,462.24,77.47,-421.64,-71.2
2454,52.83,6.82,25.34,172.49,0.1,56.4,326.66,3.400365273349939,2.1,26.1,28.299625468164795,511.17,88.09,-459.12,-78.99
2601,54.11,6.4,25.08,161.15,-2.5,50.58,126.08,4.374766670285203,0.9,26.125,22.7,645.22,102.84,-432.13,-70.2
2602,0.0,6.84,25.08,171.56,2.0,-75.2,-438.68,3.772028165324855,1.0,29.6,20.2,574.99,97.84,-476.36,-81.62
2604,0.0,6.65,25.03,166.72,0.1,55.87,335.66,3.65359838184329,2.1,29.45,28.299625468164795,630.26,107.0,-507.28,-84.55
2605,0.0,6.8,24.95,169.86,2.0,-70.0,-412.59,4.875645719848249,1.0,30.2,22.7,630.26,107.0,-476.36,-81.62
2606,0.0,6.88,24.96,171.92,2.0,-70.0,-407.48,5.3661034231187825,1.0,29.15,22.7,630.26,107.0,-476.36,-81.62
2607,0.0,6.92,24.98,173.0,2.0,-76.0,-439.75,4.4919496945765545,1.0,29.35,21.5,630.26,107.0,-476.36,-81.62
2608,0.0,6.83,25.5,174.04,-0.4,51.19,294.13,3.5485122563410356,0.9,26.325,21.5,574.99,97.84,-476.36,-81.62
2614,54.71,6.39,24.89,158.92,0.5,32.57,204.86,6.332622238690065,5.8,27.9,21.5,645.22,102.84,-432.13,-70.2
2616,54.59,6.36,25.49,161.99,0.1,45.06,278.06,4.158754386632288,3.34,31.45,28.299625468164795,731.92,118.1,-432.13,-70.2
2624,51.54,6.74,25.17,169.45,-1.0,30.44,179.57,3.296665190261531,1.44,25.725,28.299625468164795,520.81,89.11,-421.64,-71.2
2625,50.61,6.75,25.1,169.22,10.0,-48.9,-288.62,5.109183554169652,2.55,27.7,28.299625468164795,462.24,77.47,-421.64,-71.2
2626,54.11,6.47,25.08,162.27,0.1,44.36,273.38,4.193597610298094,3.34,27.95,21.5,645.22,102.84,-432.13,-70.2
2627,54.11,6.33,25.1,158.69,0.5,55.87,351.71,4.057285644418215,2.1,26.325,21.5,731.92,118.1,-432.13,-70.2
2628,54.11,6.45,24.99,161.19,0.5,43.8,271.74,4.96900099093947,3.35,28.6,21.5,645.22,102.84,-432.13,-70.2
2629,54.11,6.4,25.07,160.45,-2.5,15.28,-238.08,5.889618201838019,1.53,28.15,21.5,645.22,102.84,-432.13,-70.2
2779,0.0,6.82,24.72,168.45,10.0,-52.12,-309.15,5.0067355207188475,2.18,29.59,24.7,630.26,107.0,-427.13,-71.49
2805,0.0,6.84,25.02,171.01,10.0,-52.73,-307.97,5.42141635011384,2.18,29.69,28.299625468164795,630.26,107.0,-476.36,-81.62
2813,0.0,6.78,24.91,168.48,10.0,-52.44,-310.56,5.18782518424518,2.18,29.64,28.299625468164795,630.26,107.0,-427.13,-71.49
2819,51.54,6.66,25.28,167.84,-1.0,46.15,274.31,4.427096432549316,0.63,24.9,28.299625468164795,513.61,86.78,-469.5,-79.58
2846,0.0,6.73,25.29,170.68,2.0,-70.0,-411.58,5.6276300403193495,1.0,30.6,19.0,574.99,97.84,-507.28,-84.55
3058,0.0,6.82,24.93,169.87,0.1,32.62,191.95,5.980762155232885,6.1,23.92,28.8,630.26,107.0,-476.36,-81.62
3060,0.0,6.75,24.85,167.45,0.1,32.49,194.03,6.060019811962086,6.1,27.52,26.3,630.26,107.0,-507.28,-84.55
3061,0.0,6.8,24.84,168.69,0.1,32.49,192.48,5.8275702170114085,6.1,24.805,28.3375,630.26,107.0,-427.13,-71.49
3063,0.0,6.76,25.5,172.32,0.1,33.4,193.94,6.203226045232798,6.1,24.89,28.3375,574.99,97.84,-476.36,-81.62
3148,0.0,6.7,24.87,166.48,2.0,-65.0,-390.44,5.4641928620343245,1.5,26.82,30.0,630.26,107.0,-507.28,-84.55
3735,52.49,6.7,25.26,169.24,-1.0,30.56,180.5698349,5.229817458192203,2.1,27.88,-30.0,547.35,92.78,-458.05,-77.64
3736,52.49,6.65,25.24,167.85,-1.0,39.12,233.0707911,4.308671106715418,1.5,28.5,-32.5,498.85,83.82,-473.54,-78.76
3737,52.49,6.64,25.21,167.39,-1.0,39.08,233.4606176,4.4187154968655955,1.5,28.12,-30.9,498.85,83.82,-473.54,-78.76
3738,50.68,6.75,25.35,171.11,-1.0,30.67,179.2621813,5.439943434971297,2.1,27.65,-38.0,649.9456603,109.8,-457.07,-76.9
3739,50.68,6.64,25.33,168.19,0.1,56.49,335.8677505,4.038620161949702,3.4,27.65,-36.6,660.81863,111.1,-457.07,-76.9
3740,50.68,6.64,25.15,167.0,0.1,56.09,335.8463676,3.9651075858490556,3.4,28.24,-38.5,462.24,77.47,-474.45,-79.3
3741,50.68,6.64,25.15,167.0,0.1,44.52,266.5932118,4.923129988403675,2.3,27.78,-30.0,462.24,77.47,-474.45,-79.3
3742,50.68,6.64,25.35,168.32,0.1,44.87,266.5692355,5.025428761407241,2.3,27.82,-39.9,660.81863,111.1,-457.07,-76.9
