nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,R-value1,Fmax,Ncycles,f,E,Temp.,ftens,fcomp
1397,55.05,90.0,6.27,24.97,-1.0,7.34,2.7363965022766426,0.84,14.760000000000002,29.984285714285715,9.15,-15.13
1625,53.73,90.0,6.21,25.51,10.0,-18.05,5.033142177060625,4.96,14.63,29.984285714285715,10.4,37.34
1626,53.73,90.0,6.27,25.56,10.0,-18.26,5.177646141838193,4.96,14.93,25.0,8.01,-26.14
1627,53.73,90.0,6.35,25.46,0.1,4.97,5.162624140307846,3.25,14.5,21.8,9.11,-27.52
1649,50.87,0.0,3.61,24.85,0.1,26.08,5.72113186048972,6.19,40.25,38.0,72.8,-42.7
1650,50.82,0.0,3.67,24.77,0.1,35.41,4.273325424275121,3.35,39.89,51.0,72.57,-42.7
1651,50.87,0.0,3.58,24.83,0.1,26.06,5.726819272957204,6.19,40.86,44.15,72.8,-42.7
1652,50.87,0.0,3.63,24.86,0.1,35.55,4.3437432950100945,3.35,39.82,44.15,72.8,-42.7
1653,50.87,0.0,3.6,24.93,0.1,26.17,5.407016791185454,6.19,39.75,44.15,72.8,-42.3
1654,50.82,0.0,3.58,24.74,0.1,35.38,4.45638121798532,3.35,39.13,44.15,73.99,-43.32
1655,50.82,0.0,3.64,24.85,0.1,44.96,3.570776368794748,2.09,39.44,49.0,72.8,-42.7
1656,50.82,0.0,3.68,24.75,0.1,44.8,3.401745082237063,2.09,40.53,44.15,72.57,-43.32
1657,50.82,0.0,3.62,24.8,0.1,44.89,3.4720246977002813,2.09,40.02,44.15,73.99,-42.7
1658,50.82,0.0,3.68,24.66,-1.0,16.52,6.254246358796541,4.56,39.685,44.15,72.57,-43.32
1659,50.82,0.0,3.76,24.83,-1.0,16.64,6.262245997359259,4.56,39.864999999999995,44.15,72.18,-42.48
1660,50.87,0.0,3.71,24.8,-1.0,16.62,6.172820315900704,4.56,39.655,49.0,72.57,-42.7
1661,50.87,0.0,3.7,24.73,-1.0,23.99,3.5626496722119168,2.17,39.730000000000004,44.15,72.57,-43.32
1662,50.87,0.0,3.62,24.86,-1.0,24.12,4.824223490360817,2.17,40.379999999999995,44.15,72.8,-42.7
