Temperature,Fiber orientation,Fiber volume ,Youngs Modulus,Thickness,Width,Length,Max Stress,R,log(Nf)
0.064575973,0.881653434,0.558556234,-27.80118015,0.450402955,-0.084081194,1.982207295,0.558556234,-0.272674082,6.25152507
0.064575973,0.881653434,0.825470646,-27.80118015,0.504655054,-0.076590204,1.982207295,0.825470646,-0.272674082,5.331139696
0.064575973,0.881653434,0.824983738,-27.80118015,0.504655054,-0.099063175,1.982207295,0.824983738,-0.272674082,5.167154813
0.064575973,0.881653434,1.060116302,-27.80118015,0.512405353,-0.070971961,1.982207295,1.060116302,-0.272674082,5.527607992
0.064575973,0.881653434,0.530846711,-27.80118015,0.512405353,-0.112172408,1.982207295,0.530846711,-0.272674082,6.544391163
0.064575973,0.881653434,1.136782266,-27.80118015,0.458153255,-0.101872297,1.982207295,1.136782266,-0.272674082,2.646403726
0.064575973,0.881653434,0.146454545,-27.80118015,0.865043995,-0.079399325,1.982207295,0.146454545,-0.272674082,4.501771086
0.064575973,0.881653434,0.541957079,-27.80118015,0.837917946,-0.119663399,1.982207295,0.541957079,-0.272674082,3.011993115
0.064575973,0.881653434,-0.031798248,-27.80118015,0.888294894,-0.078462952,1.982207295,-0.031798248,-0.272674082,5.618592977
0.064575973,0.881653434,0.104137765,-27.80118015,1.051051191,-0.091572185,1.982207295,0.104137765,-0.272674082,4.837853479
0.064575973,0.881653434,0.144728233,-27.80118015,0.872794295,-0.08782669,1.982207295,0.144728233,-0.272674082,4.909545332
0.064575973,0.881653434,0.347813361,-27.80118015,1.043300891,-0.103745044,1.982207295,0.347813361,-0.272674082,3.684037037
0.064575973,0.881653434,0.37919683,-27.80118015,0.938671843,-0.099999549,1.982207295,0.37919683,-0.272674082,3.498310554
0.064575973,0.881653434,0.132201404,-27.80118015,0.923171244,-0.090635811,1.982207295,0.132201404,-0.272674082,4.809276826
0.064575973,0.881653434,0.404648868,-27.80118015,0.876669445,-0.110299661,1.982207295,0.404648868,-0.272674082,3.471878199
0.064575973,0.881653434,0.495213858,-27.80118015,0.965797893,-0.09531768,1.982207295,0.495213858,-0.272674082,3.15075644
0.064575973,0.881653434,0.494240041,-27.80118015,0.969673043,-0.07565383,1.982207295,0.494240041,-0.272674082,2.804139432
0.064575973,0.881653434,-0.004885485,-27.80118015,0.896045194,-0.116854278,1.982207295,-0.004885485,-0.272674082,5.477121255
0.064575973,0.881653434,-0.09128962,-27.80118015,0.919296094,-0.117790651,1.982207295,-0.09128962,-0.272674082,6.863511707
0.064575973,0.881653434,-0.004796956,-27.80118015,0.896045194,-0.092508559,1.982207295,-0.004796956,-0.272674082,5.599989996
