nr,Fibre Volume Fraction,taverage,waverage,Lnominal,R-value1,Ffatigue,smax,Ncycles,f,Temp.
897,50.66,3.78,24.75,145.0,-1.0,25.0,267.42,2230.0,2.5,43.6
898,50.66,3.79,24.74,145.0,-1.0,25.0,266.35,16436.0,2.5,32.6
899,50.66,3.83,24.79,145.0,-1.0,17.0,178.87,897619.0,4.32,27.387671232876706
900,50.66,3.79,24.62,145.0,-1.0,25.0,267.89,45377.0,2.0,32.5
901,50.29,3.77,24.61,145.0,-1.0,17.5,188.48,407204.0,4.1,45.0
902,50.29,3.81,24.66,145.0,-1.0,20.0,212.87,314452.0,3.13,31.0
903,50.29,3.81,24.76,145.0,-1.0,17.0,180.37,685783.0,4.32,27.387671232876706
904,50.29,3.76,24.7,145.0,-1.0,20.0,215.51,274849.0,3.13,27.387671232876706
905,50.29,3.81,24.91,145.0,-1.0,20.0,210.7,268157.0,3.13,27.387671232876706
906,50.29,3.87,24.96,145.0,-1.0,20.0,206.84,204841.0,3.13,29.1
907,50.29,3.81,24.91,145.0,-1.0,25.0,263.38,46263.0,2.0,27.387671232876706
908,50.29,3.83,24.71,145.0,-1.0,20.0,211.51,154582.0,3.13,27.387671232876706
909,50.29,3.82,24.79,145.0,-1.0,17.5,184.93,535132.0,4.1,40.7
910,50.29,3.76,24.75,145.0,-1.0,15.0,161.31,1250000.0,5.55,29.0
911,50.29,3.87,24.44,145.0,-1.0,17.0,179.74,661598.0,4.32,27.387671232876706
912,50.29,3.92,24.81,145.0,-1.0,25.0,257.09,44079.0,2.0,27.387671232876706
943,49.49,3.79,24.98,145.0,-1.0,17.0,179.75,812946.0,4.33,27.387671232876706
944,49.49,3.84,24.86,145.0,-1.0,25.0,261.78,36603.0,2.0,30.0
945,49.49,3.85,24.97,145.0,0.1,54.0,561.49,1189.0,1.5,27.387671232876706
946,49.49,3.85,24.89,145.0,-1.0,17.0,177.31,380132.0,4.32,27.387671232876706
947,51.2,3.99,25.13,145.0,-1.0,17.0,169.42,1598170.0,4.32,27.387671232876706
948,51.2,3.76,25.19,145.0,0.1,54.0,570.66,440.0,1.5,27.387671232876706
949,51.2,3.83,25.33,145.0,0.1,54.0,556.62,836.0,1.5,27.387671232876706
950,51.2,3.79,25.15,145.0,0.1,54.0,567.04,1065.0,1.5,27.387671232876706
951,51.2,3.76,24.81,145.0,0.1,35.0,375.19,51715.0,3.6,27.387671232876706
952,51.2,3.75,25.27,145.0,0.1,35.0,369.68,60922.0,3.6,27.387671232876706
