nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,R-value1,Ffatigue,smax,f,E,Temp.
1386,0.3812554026672274,1.564602717656261,1.4138215134445442,0.1467470172873477,1.4168202575753182,-0.1626500121580885,1.667316014860333,-1.0056223985991788,-0.7789384827918806,-0.2034934346944788,-1.3841866580764632,0.0041462248061583
896,0.1609411448150508,-0.6654351150195199,-0.7408571665896322,1.6066917020949032,-0.6908086618648371,-0.1626500121580885,1.667316014860333,-1.736397868121276,-1.9170764230622008,0.9873061499255784,0.98628938219634,0.3100992842210252
647,0.1609411448150508,-0.6654351150195199,-0.6905533841763832,-0.4210092490267048,-0.7004477154311147,-0.1626500121580885,-0.6664452180610566,0.6778997875976847,0.7189070660273872,1.1686461881925925,0.54793803641446,-0.1279523622928739
1376,0.3812554026672274,1.564602717656261,1.237758274998172,0.1061929982649092,1.240658244122664,-0.1626500121580885,-0.6664452180610566,-0.0741359150120871,-0.1656081766891109,-0.3183421255969208,-1.4766583415679757,0.0041462248061583
3748,0.1571426231279442,-0.6654351150195199,-0.7324732028540908,1.3633675879603155,-0.6871524691328009,-0.1626500121580885,-0.4330690947689176,1.4364216630138655,1.5410160811594138,0.0806059585905095,0.4759168213874167,-4.920141451436716
894,0.1609411448150508,-0.6654351150195199,-0.6821694204408415,2.093339930364093,-0.6136962333346188,-0.1626500121580885,1.667316014860333,-1.844500748228095,-1.9928299616937355,0.5641793939692129,0.8973743019160397,-0.1503345632096424
1163,-0.155602329110491,-0.6654351150195199,-0.6402496017631338,-1.3537516865426462,-0.6801724648261865,-0.1626500121580885,-0.6664452180610566,0.672854986526033,0.7071115323304353,-0.6447541944775457,0.6190701006386999,0.6423441627647456
3051,0.2280483612872659,-0.6654351150195199,-0.8330807676805894,-0.5021172870715674,-0.8453659000827324,-0.1626500121580885,-0.4330690947689176,0.7251047119109956,0.820423548098613,1.887961673318414,0.8662540238179346,0.0798823605056913
1321,0.5851093998752763,1.564602717656261,1.3802856585023782,0.1873010363097718,1.3839145229869927,-0.1626500121580885,-0.4330690947689176,-0.1036840355746177,-0.1878886292277975,2.643545166097638,-1.4873281512016114,0.0041462248061583
673,0.035589929140536,-0.6654351150195199,-0.7324732028540908,-0.8265494392510322,-0.7542934629392848,-0.1626500121580885,-0.6664452180610566,0.4454785953680235,0.477529255835162,1.1686461881925925,0.6506349541382068,-0.1279523622928739
1105,0.5851093998752763,1.564602717656261,1.405437549709003,-0.2993471919594037,1.3849116664593664,-0.1626500121580885,1.667316014860333,-1.1122839069712402,-0.8524452531001862,-0.2881187858857519,-1.5015545640464596,0.0223281295768578
1312,0.5851093998752763,1.564602717656261,1.438973404651169,0.0250849602200466,1.431445028503463,-0.1626500121580885,-0.4330690947689176,-0.0680100851393674,-0.165458392134229,0.8664127910809026,-1.4748800399623694,0.0041462248061583
1146,0.1330853191096033,-0.6654351150195199,-0.7408571665896322,1.1605974928481515,-0.7014448589034883,-0.1626500121580885,-0.4330690947689176,1.758928588665876,1.9020552650397269,-0.9469875915892354,0.5114828534995373,-0.2726373039334135
683,-0.1745949375460243,-0.6654351150195199,-0.6905533841763832,-1.2320896294753452,-0.7257086833979106,-0.1626500121580885,-0.6664452180610566,0.378815152635485,0.396982611447406,1.1686461881925925,0.6590818867648353,-0.1279523622928739
910,-0.2214433716870042,-0.6654351150195199,-0.7240892391185494,-1.434859724587509,-0.7672563280801404,-0.1626500121580885,-0.6664452180610566,0.3175568539082875,0.3375181431592811,1.5011029250154508,0.979176175773916,-0.0783917745486006
1393,0.3812554026672274,1.564602717656261,1.237758274998172,-0.177685134892117,1.220715374675194,-0.1626500121580885,1.667316014860333,-0.9764346209703376,-0.7789384827918806,-0.2034934346944788,-1.286380069768133,0.0041462248061583
2244,0.046985494201855,-0.6654351150195199,-0.8246968039450476,1.1200434738257132,-0.7971706322513457,-0.1626500121580885,-0.6664452180610566,0.3896254406461669,0.4226706626096564,0.9026807987343052,0.7546655980661583,-0.1279523622928739
