nr,Laminate,smax,Ncycles,smean
1099,1.0,-470.46,2.599883072073688,-2587.53
1100,1.0,-466.07,3.516403148447403,-2563.385
1107,1.0,369.74,4.89630570746608,203.35700000000003
1108,1.0,271.53,6.2581867139513845,149.3415
1109,1.0,562.82,2.9827233876685453,309.55100000000004
1110,1.0,266.19,5.543424812407923,146.4045
1111,1.0,271.18,6.262675535864857,149.14900000000003
1112,1.0,263.48,6.106642641378158,144.91400000000002
1144,1.0,179.15,6.16370241453279,0.0
1145,1.0,485.0,3.723044991643445,266.75
1146,1.0,579.12,3.083860800866573,318.516
1147,1.0,366.68,4.742355863317775,201.674
1148,1.0,261.1,5.518799427546235,143.60500000000002
1149,1.0,210.97,5.268170629834625,116.0335
1150,1.0,-206.64,5.395925428467096,-1136.52
1151,1.0,-423.4,0.0,-2328.7
1152,1.0,-315.57,5.787825185380205,-1735.635
1153,1.0,-366.48,5.654339251455213,-2015.64
1154,1.0,-418.16,0.6020599913279624,-2299.88
1156,1.0,216.97,4.320914453045575,0.0
1157,1.0,179.97,5.834315773598671,0.0
1158,1.0,180.01,5.829535977866126,0.0
1159,1.0,180.02,5.81868898208072,0.0
1160,1.0,299.97,3.829496749720183,0.0
1161,1.0,260.04,4.407645797062556,0.0
1162,1.0,210.27,5.130497804316687,0.0
1163,1.0,260.01,4.608579514826188,0.0
1164,1.0,210.02,5.332404118994238,0.0
1165,1.0,210.05,5.225226551088047,0.0
1166,1.0,259.95,4.487308099109349,0.0
1168,1.0,216.45,6.293473048156108,119.0475
1169,1.0,237.12,5.7135913347584735,130.41600000000005
1171,1.0,275.22,5.186560828852073,151.37100000000004
1173,1.0,314.05,4.991934549718948,172.72750000000002
1174,1.0,350.97,4.668199484198662,193.03350000000003
1175,1.0,374.25,4.280578370368076,205.8375
1176,1.0,393.69,4.284656282788515,216.5295
1177,1.0,411.87,4.129045059887958,226.5285
1178,1.0,463.69,3.57978359661681,255.0295
1188,1.0,352.17,3.2880255353883627,0.0
1189,1.0,350.92,3.34966598409663,0.0
1190,1.0,345.73,3.2234959409623944,0.0
1191,1.0,347.23,3.302114376956201,0.0
1193,1.0,-445.97,0.0,-0.0
1194,1.0,786.47,0.0,0.0
1195,1.0,818.47,0.0,0.0
1206,1.0,268.26,4.803491256954348,0.0
1207,1.0,220.15,5.637010139789675,0.0
1208,1.0,183.89,6.176683522229599,0.0
1209,1.0,219.47,5.680830272795469,0.0
1210,1.0,309.15,4.618894929662588,0.0
1211,1.0,-546.01,0.0,-0.0
1212,1.0,183.65,6.026698697982396,0.0
1213,1.0,218.22,5.626219199767275,0.0
1214,1.0,184.35,6.116287217345921,0.0
1215,1.0,270.04,4.793434145077811,0.0
1216,1.0,275.96,4.884846321198446,0.0
1217,1.0,834.95,0.0,0.0
1218,1.0,839.48,0.0,0.0
1219,1.0,860.89,0.0,0.0
1220,1.0,840.4,0.0,0.0
1221,1.0,831.58,0.0,0.0
1222,1.0,825.71,0.0,0.0
1265,1.0,202.13,6.166734043211645,111.1715
1266,1.0,259.62,5.261365183658459,142.79100000000005
1267,1.0,483.59,3.563955464995813,265.97450000000003
1268,1.0,332.82,4.257846501591155,183.051
1269,1.0,368.99,4.100852826657301,202.94450000000003
1270,1.0,417.23,3.821579027912009,229.4765
1282,1.0,277.01,5.2762319579218335,152.3555
1283,1.0,198.67,6.751548529380677,109.2685
1284,1.0,308.07,4.977723605288848,169.4385
1285,1.0,395.16,4.136720567156407,217.338
1286,1.0,404.56,4.26245108973043,222.508
1287,1.0,398.78,3.322219294733919,219.329
1288,1.0,568.1,2.510545010206612,312.45500000000004
1316,1.0,264.79,4.970100365087651,0.0
1325,1.0,340.37,3.633468455579586,0.0
1326,1.0,335.68,3.5089335260500327,0.0
1327,1.0,344.64,3.762453482363547,0.0
1328,1.0,333.91,3.579440597139797,0.0
1329,1.0,337.43,3.682145076373832,0.0
1330,1.0,175.97,6.2391219703552405,0.0
1347,1.0,667.7,0.0,0.0
1348,1.0,647.89,0.0,0.0
1349,1.0,679.75,0.0,0.0
1350,1.0,605.01,0.0,0.0
1351,1.0,629.73,0.0,0.0
1352,1.0,517.67,0.0,0.0
1353,1.0,609.09,0.0,0.0
1354,1.0,628.41,0.0,0.0
1369,1.0,175.53,6.071128699937522,0.0
1515,1.0,392.67,4.364550995353972,215.96850000000003
1516,1.0,390.67,4.087532975734094,214.86850000000004
1517,1.0,643.81,4.3979400086720375,354.0955
1518,1.0,393.06,4.42206429813628,216.183
1519,1.0,404.17,4.463415151521223,222.2935
1520,1.0,288.9,5.208820123905915,158.895
1521,1.0,-440.49,4.0,-242.2695
1522,1.0,763.3,4.0,419.815
1523,1.0,-441.96,2.903089986991944,-243.078
1524,1.0,-433.1,2.3010299956639813,-238.20500000000004
1525,1.0,907.13,2.3010299956639813,498.9215
1526,1.0,-426.53,2.6989700043360187,-234.5915
1527,1.0,906.21,2.6989700043360187,498.41550000000007
1528,1.0,566.05,2.813580988568192,311.3275
1529,1.0,828.35,2.903089986991944,455.5925
1530,1.0,278.7,5.26744161136926,153.285
1531,1.0,280.51,5.272744093598112,154.28050000000002
1532,1.0,280.02,5.24863034486369,154.011
1533,1.0,277.26,5.294000818826948,152.493
1534,1.0,279.19,5.175282719143905,153.55450000000002
1535,1.0,275.25,5.68577576446583,151.38750000000002
1536,1.0,-421.43,5.698970004336019,-231.7865
1537,1.0,-455.83,4.0,-250.7065
1538,1.0,678.75,4.0,373.31250000000006
1539,1.0,278.95,4.882439150567529,153.4225
1540,1.0,661.51,5.698970004336019,363.8305
1541,1.0,-419.07,5.903089986991944,-230.4885
1542,1.0,503.3,5.903089986991944,276.81500000000005
1543,1.0,-419.84,5.698970004336019,-230.912
1544,1.0,717.35,5.698970004336019,394.5425
1545,1.0,-430.42,5.903089986991944,-236.731
1546,1.0,383.07,4.3979400086720375,210.6885
1547,1.0,-430.85,2.3010299956639813,-236.96750000000003
1548,1.0,890.27,2.6989700043360187,489.6485
1549,1.0,-427.71,2.6989700043360187,-235.2405
1550,1.0,783.42,2.6989700043360187,430.881
1551,1.0,790.99,2.903089986991944,435.0445
1552,1.0,281.42,3.860278099752235,154.78100000000003
1553,1.0,284.69,4.319564066092164,156.57950000000002
1554,1.0,660.49,5.903089986991944,363.2695000000001
1555,1.0,282.46,5.852363474853029,155.353
1556,1.0,-592.49,2.903089986991944,-325.8695
1557,1.0,645.05,4.3979400086720375,354.77750000000003
1558,1.0,-589.63,4.6020599913279625,-324.29650000000004
1559,1.0,566.63,4.6020599913279625,311.6465
1560,1.0,274.87,5.358125285276649,151.1785
1591,1.0,-639.35,0.0,-0.0
1592,1.0,-609.62,0.0,-0.0
1593,1.0,-602.38,0.0,-0.0
1594,1.0,-532.33,0.0,-0.0
1595,1.0,-576.22,0.0,-0.0
1596,1.0,-462.17,0.0,-0.0
1597,1.0,-446.61,0.0,-0.0
1598,1.0,-446.58,0.0,-0.0
1649,1.0,290.94,5.72113186048972,160.01700000000002
1650,1.0,389.95,4.273325424275121,214.47250000000005
1651,1.0,293.17,5.726819272957204,161.2435
1652,1.0,394.24,4.343743295010095,216.832
1653,1.0,291.92,5.407016791185454,160.556
1654,1.0,399.91,4.45638121798532,219.95050000000003
1655,1.0,496.5,3.570776368794748,273.07500000000005
1656,1.0,492.41,3.401745082237063,270.82550000000003
1657,1.0,500.68,3.4720246977002813,275.374
1658,1.0,181.88,6.254246358796541,0.0
1659,1.0,178.42,6.262245997359259,0.0
1660,1.0,180.73,6.172820315900704,0.0
1661,1.0,262.52,3.5626496722119168,0.0
1662,1.0,267.87,4.824223490360817,0.0
1663,1.0,266.43,4.784453242390176,0.0
1664,1.0,439.26,2.631443769013172,0.0
1665,1.0,430.31,2.546542663478131,0.0
1666,1.0,415.56,2.401400540781544,0.0
1764,2.0,-545.08,0.0,-0.0
1765,2.0,-618.29,0.0,-0.0
1766,2.0,-606.62,0.0,-0.0
1767,2.0,-557.66,0.0,-0.0
1768,2.0,-559.42,0.0,-0.0
1770,2.0,-474.0,4.893573138568593,-2607.0
1771,2.0,-474.0,4.269396182694991,-2607.0
1778,2.0,-485.1,1.9030899869919435,-2668.05
1779,2.0,-504.79,2.942008053022313,-2776.3450000000003
1830,1.0,705.32,0.0,0.0
1831,1.0,718.61,0.0,0.0
1832,1.0,664.2,0.0,0.0
1833,1.0,678.15,0.0,0.0
1834,1.0,730.11,0.0,0.0
1835,1.0,711.28,0.0,0.0
1836,1.0,700.81,0.0,0.0
1863,1.0,-625.11,0.0,-0.0
1864,1.0,-607.88,0.0,-0.0
1865,1.0,-650.28,0.0,-0.0
1866,1.0,-646.14,0.0,-0.0
1867,1.0,-606.51,0.0,-0.0
1868,1.0,-437.51,0.0,-0.0
1869,1.0,-576.4,0.0,-0.0
1929,2.0,-450.02,4.105782597814442,-2475.11
1930,2.0,-427.0,6.140764710008936,-2348.5
1945,1.0,427.9,4.330007700872759,235.345
1946,1.0,421.51,4.204119982655925,231.8305
1947,1.0,402.33,5.240299582002712,221.2815
1948,1.0,306.77,5.425044874551388,168.7235
1949,1.0,197.6,6.716712668497517,108.68
1950,1.0,-415.79,2.776701183988411,-2286.8450000000003
1951,1.0,-385.7,4.548082170520596,-2121.35
1952,1.0,-339.44,4.872907622279761,-1866.92
1955,1.0,-239.48,5.82911650328449,-1317.14
1974,1.0,-591.53,3.0,-0.0
1975,1.0,-606.57,3.397940008672037,-0.0
1976,1.0,343.11,3.345569756056392,0.0
1977,1.0,-559.21,4.0,-0.0
1978,1.0,592.87,4.0,0.0
1979,1.0,-540.99,4.3979400086720375,-0.0
1980,1.0,507.66,4.3979400086720375,0.0
1981,1.0,-598.77,4.0,-329.3235
1982,1.0,653.25,4.0,359.2875
1983,1.0,-534.9,2.6989700043360187,-294.195
1984,1.0,792.58,2.6989700043360187,435.919
1985,1.0,-587.61,2.3010299956639813,-323.18550000000005
1986,1.0,811.37,2.3010299956639813,446.2535
1987,1.0,-539.31,4.3979400086720375,-296.6205
1988,1.0,279.03,5.658029531652442,153.4665
1989,1.0,504.18,4.3979400086720375,277.29900000000004
1990,1.0,381.41,4.35479968526329,209.7755
1991,1.0,376.68,4.226548353841412,207.174
1992,1.0,609.95,5.301029995663981,335.4725
1993,1.0,381.32,4.176698846118572,209.726
1994,1.0,544.74,5.698970004336019,0.0
1995,1.0,383.92,5.903089986991944,0.0
1996,1.0,-565.09,5.301029995663981,-0.0
1997,1.0,582.55,5.301029995663981,0.0
1998,1.0,384.97,4.151400498035618,211.7335
1999,1.0,378.28,4.414622429922522,208.054
2019,1.0,210.17,5.193124598354461,0.0
2020,1.0,212.99,5.077367905284157,0.0
2021,1.0,181.1,5.934750874663579,0.0
2022,1.0,181.21,5.838849090737256,0.0
2023,1.0,181.37,5.905256048748451,0.0
2024,1.0,265.07,4.535914097995172,0.0
2025,1.0,159.97,6.138618118278388,0.0
2026,1.0,210.11,5.356981400993131,0.0
2187,1.0,594.13,5.698927441391174,0.0
2188,1.0,-581.44,5.698961318359521,-0.0
