nr,smax,Ncycles,smean
1146,579.12,3.083860800866573,318.516
1147,366.68,4.742355863317775,201.674
1148,261.1,5.518799427546235,143.60500000000002
1149,210.97,5.268170629834625,116.0335
1150,-206.64,5.395925428467096,-1136.52
1151,-423.4,0.0,-2328.7
1152,-315.57,5.787825185380205,-1735.635
1153,-366.48,5.654339251455213,-2015.64
1154,-418.16,0.6020599913279624,-2299.88
1156,216.97,4.320914453045575,0.0
1157,179.97,5.834315773598671,0.0
1158,180.01,5.829535977866126,0.0
1159,180.02,5.81868898208072,0.0
1160,299.97,3.829496749720183,0.0
1161,260.04,4.407645797062556,0.0
1162,210.27,5.130497804316687,0.0
1163,260.01,4.608579514826188,0.0
1164,210.02,5.332404118994238,0.0
1165,210.05,5.225226551088047,0.0
1166,259.95,4.487308099109349,0.0
1168,216.45,6.293473048156108,119.0475
1169,237.12,5.7135913347584735,130.41600000000005
1171,275.22,5.186560828852073,151.37100000000004
1173,314.05,4.991934549718948,172.72750000000002
1174,350.97,4.668199484198662,193.03350000000003
1175,374.25,4.280578370368076,205.8375
1176,393.69,4.284656282788515,216.5295
1177,411.87,4.129045059887958,226.5285
1178,463.69,3.57978359661681,255.0295
1188,352.17,3.2880255353883627,0.0
1189,350.92,3.34966598409663,0.0
1190,345.73,3.2234959409623944,0.0
1191,347.23,3.302114376956201,0.0
1193,-445.97,0.0,-222.985
1194,786.47,0.0,393.235
1195,818.47,0.0,409.235
1206,268.26,4.803491256954348,0.0
1207,220.15,5.637010139789675,0.0
1208,183.89,6.176683522229599,0.0
1209,219.47,5.680830272795469,0.0
1210,309.15,4.618894929662588,0.0
1211,-546.01,0.0,-273.005
1212,183.65,6.026698697982396,0.0
1213,218.22,5.626219199767275,0.0
1214,184.35,6.116287217345921,0.0
1215,270.04,4.793434145077811,0.0
1216,275.96,4.884846321198446,0.0
1217,834.95,0.0,417.475
1218,839.48,0.0,419.74
1219,860.89,0.0,430.445
1220,840.4,0.0,420.2
1221,831.58,0.0,415.79
1222,825.71,0.0,412.855
1265,202.13,6.166734043211645,111.1715
1266,259.62,5.261365183658459,142.79100000000005
1267,483.59,3.563955464995813,265.97450000000003
1268,332.82,4.257846501591155,183.051
1269,368.99,4.100852826657301,202.94450000000003
1270,417.23,3.821579027912009,229.4765
1282,277.01,5.2762319579218335,152.3555
1283,198.67,6.751548529380677,109.2685
1284,308.07,4.977723605288848,169.4385
1285,395.16,4.136720567156407,217.338
1286,404.56,4.26245108973043,222.508
1287,398.78,3.322219294733919,219.329
1288,568.1,2.510545010206612,312.45500000000004
1316,264.79,4.970100365087651,0.0
1325,340.37,3.633468455579586,0.0
1326,335.68,3.5089335260500327,0.0
1327,344.64,3.762453482363547,0.0
1328,333.91,3.579440597139797,0.0
1329,337.43,3.682145076373832,0.0
1330,175.97,6.2391219703552405,0.0
1347,667.7,0.0,333.85
1348,647.89,0.0,323.945
1349,679.75,0.0,339.875
1350,605.01,0.0,302.505
1351,629.73,0.0,314.865
1352,517.67,0.0,258.835
1353,609.09,0.0,304.545
1354,628.41,0.0,314.205
1369,175.53,6.071128699937522,0.0
1515,392.67,4.364550995353972,215.96850000000003
1516,390.67,4.087532975734094,214.86850000000004
1517,643.81,4.3979400086720375,354.0955
1518,393.06,4.42206429813628,216.183
1519,404.17,4.463415151521223,222.2935
1520,288.9,5.208820123905915,158.895
1521,-440.49,4.0,-242.2695
1522,763.3,4.0,419.815
1523,-441.96,2.903089986991944,-243.078
1524,-433.1,2.3010299956639813,-238.20500000000004
1525,907.13,2.3010299956639813,498.9215
1526,-426.53,2.6989700043360187,-234.5915
1527,906.21,2.6989700043360187,498.41550000000007
1528,566.05,2.813580988568192,311.3275
1529,828.35,2.903089986991944,455.5925
1530,278.7,5.26744161136926,153.285
1531,280.51,5.272744093598112,154.28050000000002
1532,280.02,5.24863034486369,154.011
1533,277.26,5.294000818826948,152.493
1534,279.19,5.175282719143905,153.55450000000002
1535,275.25,5.68577576446583,151.38750000000002
1536,-421.43,5.698970004336019,-231.7865
1537,-455.83,4.0,-250.7065
1538,678.75,4.0,373.31250000000006
1539,278.95,4.882439150567529,153.4225
1540,661.51,5.698970004336019,363.8305
1541,-419.07,5.903089986991944,-230.4885
1542,503.3,5.903089986991944,276.81500000000005
1543,-419.84,5.698970004336019,-230.912
1544,717.35,5.698970004336019,394.5425
1545,-430.42,5.903089986991944,-236.731
1546,383.07,4.3979400086720375,210.6885
1547,-430.85,2.3010299956639813,-236.96750000000003
1548,890.27,2.6989700043360187,489.6485
1549,-427.71,2.6989700043360187,-235.2405
1550,783.42,2.6989700043360187,430.881
1551,790.99,2.903089986991944,435.0445
1552,281.42,3.860278099752235,154.78100000000003
1553,284.69,4.319564066092164,156.57950000000002
1554,660.49,5.903089986991944,363.2695000000001
1555,282.46,5.852363474853029,155.353
1556,-592.49,2.903089986991944,-325.8695
1557,645.05,4.3979400086720375,354.77750000000003
1558,-589.63,4.6020599913279625,-324.29650000000004
1559,566.63,4.6020599913279625,311.6465
1560,274.87,5.358125285276649,151.1785
1591,-639.35,0.0,-319.675
1592,-609.62,0.0,-304.81
1593,-602.38,0.0,-301.19
1594,-532.33,0.0,-266.165
1595,-576.22,0.0,-288.11
1596,-462.17,0.0,-231.085
1597,-446.61,0.0,-223.305
1598,-446.58,0.0,-223.29
1649,290.94,5.72113186048972,160.01700000000002
1650,389.95,4.273325424275121,214.47250000000005
1651,293.17,5.726819272957204,161.2435
1652,394.24,4.343743295010095,216.832
1653,291.92,5.407016791185454,160.556
1654,399.91,4.45638121798532,219.95050000000003
1655,496.5,3.570776368794748,273.07500000000005
1656,492.41,3.401745082237063,270.82550000000003
1657,500.68,3.4720246977002813,275.374
1658,181.88,6.254246358796541,0.0
1659,178.42,6.262245997359259,0.0
1660,180.73,6.172820315900704,0.0
1661,262.52,3.5626496722119168,0.0
1662,267.87,4.824223490360817,0.0
1663,266.43,4.784453242390176,0.0
1664,439.26,2.631443769013172,0.0
1665,430.31,2.546542663478131,0.0
1666,415.56,2.401400540781544,0.0
1764,-545.08,0.0,-272.54
1765,-618.29,0.0,-309.145
1766,-606.62,0.0,-303.31
1767,-557.66,0.0,-278.83
1768,-559.42,0.0,-279.71
1770,-474.0,4.893573138568593,-2607.0
1771,-474.0,4.269396182694991,-2607.0
1778,-485.1,1.9030899869919435,-2668.05
1779,-504.79,2.942008053022313,-2776.3450000000003
1830,705.32,0.0,352.66
1831,718.61,0.0,359.305
1832,664.2,0.0,332.1
1833,678.15,0.0,339.075
1834,730.11,0.0,365.055
1835,711.28,0.0,355.64
1836,700.81,0.0,350.405
1863,-625.11,0.0,-312.555
1864,-607.88,0.0,-303.94
1865,-650.28,0.0,-325.14
1866,-646.14,0.0,-323.07
1867,-606.51,0.0,-303.255
1868,-437.51,0.0,-218.755
1869,-576.4,0.0,-288.2
1929,-450.02,4.105782597814442,-2475.11
1930,-427.0,6.140764710008936,-2348.5
1945,427.9,4.330007700872759,235.345
1946,421.51,4.204119982655925,231.8305
1947,402.33,5.240299582002712,221.2815
1948,306.77,5.425044874551388,168.7235
1949,197.6,6.716712668497517,108.68
1950,-415.79,2.776701183988411,-2286.8450000000003
1951,-385.7,4.548082170520596,-2121.35
1952,-339.44,4.872907622279761,-1866.92
1955,-239.48,5.82911650328449,-1317.14
1974,-591.53,3.0,-0.0
1975,-606.57,3.397940008672037,-0.0
1976,343.11,3.345569756056392,0.0
1977,-559.21,4.0,-0.0
1978,592.87,4.0,0.0
1979,-540.99,4.3979400086720375,-0.0
1980,507.66,4.3979400086720375,0.0
1981,-598.77,4.0,-329.3235
1982,653.25,4.0,359.2875
1983,-534.9,2.6989700043360187,-294.195
1984,792.58,2.6989700043360187,435.919
1985,-587.61,2.3010299956639813,-323.18550000000005
1986,811.37,2.3010299956639813,446.2535
1987,-539.31,4.3979400086720375,-296.6205
1988,279.03,5.658029531652442,153.4665
1989,504.18,4.3979400086720375,277.29900000000004
1990,381.41,4.35479968526329,209.7755
1991,376.68,4.226548353841412,207.174
1992,609.95,5.301029995663981,335.4725
1993,381.32,4.176698846118572,209.726
1994,544.74,5.698970004336019,0.0
1995,383.92,5.903089986991944,0.0
1996,-565.09,5.301029995663981,-0.0
1997,582.55,5.301029995663981,0.0
1998,384.97,4.151400498035618,211.7335
1999,378.28,4.414622429922522,208.054
2019,210.17,5.193124598354461,0.0
2020,212.99,5.077367905284157,0.0
2021,181.1,5.934750874663579,0.0
2022,181.21,5.838849090737256,0.0
2023,181.37,5.905256048748451,0.0
2024,265.07,4.535914097995172,0.0
2025,159.97,6.138618118278388,0.0
2026,210.11,5.356981400993131,0.0
2187,594.13,5.698927441391174,0.0
2188,-581.44,5.698961318359521,-0.0
2189,-591.39,4.397905263723669,-0.0
2190,516.47,4.602016559708155,0.0
2191,-596.11,4.60219026013319,-0.0
2192,-577.88,5.69897695299214,-0.0
2193,-567.01,4.00026049854739,-0.0
2194,-559.19,5.301082107875139,-0.0
2195,711.46,3.3967222785037734,0.0
2196,920.38,3.0008677215312267,0.0
2197,-581.83,5.301027824186143,-0.0
2198,612.85,4.398078960675112,0.0
2199,652.06,5.698917017176944,0.0
2200,700.78,5.300988735728322,0.0
2201,783.79,3.397940008672037,0.0
2202,761.95,3.999956568380192,0.0
2203,749.13,3.999869692108268,0.0
2204,467.68,4.601886238782375,0.0
2205,670.75,3.602277084300193,0.0
2206,604.71,5.903037325593351,0.0
2207,873.28,3.0008677215312267,0.0
2208,596.17,4.398078960675112,0.0
2209,-688.71,0.0,-344.355
2210,-596.4,0.0,-298.2
2211,-528.96,0.0,-264.48
2212,-671.89,0.0,-335.945
2213,257.92,4.274827255438105,0.0
2214,178.04,6.140644092283868,0.0
2215,256.75,4.668665415454492,0.0
2216,417.21,2.656098202012832,0.0
2217,255.26,4.8477823530039865,0.0
2218,176.27,6.04980740997314,0.0
2224,-433.35,0.0,-216.675
2225,-550.3,0.0,-275.15
2226,-438.35,0.0,-219.175
2227,-373.39,0.0,-186.695
2243,436.1,2.3521825181113627,0.0
2244,184.05,5.992979650690281,0.0
2245,266.62,4.891258616904139,0.0
2246,431.07,2.4771212547196626,0.0
2247,429.53,1.505149978319906,0.0
2248,263.73,4.282191456275556,0.0
2249,428.48,2.359835482339888,0.0
2250,426.73,2.823474229170301,0.0
2251,260.5,4.833344763389635,0.0
2252,180.41,5.019386341792188,0.0
2253,179.15,5.928097172117339,0.0
2254,178.47,5.999621564673743,0.0
2279,137.84,7.29786122948452,0.0
2382,582.12,5.698972610095093,0.0
2384,595.91,4.601712416694041,0.0
2385,590.27,4.6020599913279625,0.0
2386,476.37,5.903090529859707,0.0
2387,554.7,4.602125130614923,0.0
2388,481.4,5.903089986991944,0.0
2390,597.59,4.39776625612645,0.0
2391,609.89,3.3988077302032647,0.0
2392,604.28,4.000086850211649,0.0
2393,555.72,2.9995654882259823,0.0
2395,349.53,3.563243701140398,0.0
2398,353.47,3.4838724542226736,0.0
2399,349.84,3.545801757159276,0.0
2400,342.26,3.380030247967831,0.0
2401,-621.83,0.0,-310.915
2402,-40.49,0.0,-20.245
2403,-38.92,0.0,-19.46
2404,-39.75,0.0,-19.875
2405,-39.61,0.0,-19.805
2406,-39.27,0.0,-19.635
2407,-39.35,0.0,-19.675
2408,-39.17,0.0,-19.585
2409,660.73,0.0,330.365
2410,801.55,0.0,400.775
2411,780.71,0.0,390.355
2412,726.18,0.0,363.09
2413,834.78,0.0,417.39
2414,-374.35,0.0,-187.175
2415,-325.84,0.0,-162.92
2416,-422.69,0.0,-211.345
2417,-452.02,0.0,-226.01
2418,-393.88,0.0,-196.94
2440,965.85,0.0,482.925
2441,1156.5,0.0,578.25
2442,1113.51,0.0,556.755
2573,1049.54,0.0,524.77
2574,1106.98,0.0,553.49
2575,882.94,0.0,441.47
2576,1043.05,0.0,521.525
2577,1065.26,0.0,532.63
2578,-584.57,0.0,-292.285
2579,635.67,3.6020599913279625,0.0
2594,-596.31,3.0,-0.0
2595,140.87,6.239521200565928,0.0
2597,-392.4,4.962170376600235,-2158.2
2598,-387.88,5.88349563358854,-2133.34
2599,-473.08,5.69320970751774,-2601.94
2600,-389.52,5.962799154954428,-2142.36
2617,-460.96,5.156030959765567,-2535.28
2618,424.32,2.4471580313422194,0.0
2619,257.46,4.951740535791213,0.0
2620,306.63,3.204933522354145,0.0
2706,-418.99,4.797848981363836,-2304.445
2707,-419.0,0.3010299956639812,-2304.5
2708,-440.34,2.9786369483844743,-2421.87
2709,-376.49,0.0,-2070.695
2710,-440.35,3.8140477209956,-2421.925
2711,-419.07,3.6058435390580894,-2304.885
2712,-440.34,5.554016448585713,-2421.87
2713,-419.05,4.969755945482622,-2304.775
2714,-421.91,4.199206479161658,-2320.505
2715,-440.28,5.036660827605983,-2421.54
2716,267.52,6.034125297971858,147.136
2717,270.04,6.184148933658721,148.52200000000002
2718,-440.27,3.663229634532868,-2421.485
2720,800.15,2.303196057420489,440.0825
2721,762.08,2.303196057420489,419.14400000000006
2722,356.78,7.042688343474213,178.39
2723,357.72,6.962626142308939,178.86
2724,446.66,6.161962129827658,223.33
2725,444.34,6.165271338817579,222.17
2726,443.18,6.176296776475162,221.59
2727,418.63,5.720240364143812,209.315
2728,361.36,6.463174989067412,180.68
2729,364.22,6.183733223546676,182.11
2730,354.53,6.040498698281761,177.265
2731,428.24,5.718934936784383,214.12
2732,425.99,5.7202569052927545,212.995
2733,389.46,6.110196310504653,194.73
2756,-506.25,6.711817179752216,-0.0
2757,795.64,5.301025652697447,4376.02
2758,-579.53,6.699129708478671,-0.0
2759,229.8,6.39409814734712,126.39
2760,-391.32,5.353352570551598,-2152.26
2761,508.33,6.723117628203055,0.0
2762,-597.16,5.903084015401762,-3284.38
2764,230.01,6.380744914937657,126.5055
2765,570.42,6.300983089326948,313.731
2766,-389.39,5.657129504486177,-2141.645
2767,227.21,6.580733205436984,124.96550000000002
2768,727.86,5.69896739856131,4003.23
2769,342.82,6.941714072673244,171.41
2770,874.47,5.301038681466761,4809.585
2771,470.06,5.70956928349098,235.03
2772,-546.62,5.301023481197894,-3006.41
2773,142.24,6.256539037674751,0.0
2774,466.83,6.034586348470829,233.415
2776,-521.7,6.698970786065383,-0.0
2777,572.78,6.385978034937552,315.029
2818,469.89,5.573030659551436,234.945
2823,512.43,5.903066643036167,0.0
2825,748.86,6.302963507178835,0.0
2826,647.18,6.327796074400413,0.0
2830,689.36,5.300997422356324,0.0
2834,-582.57,3.6021685513789974,-0.0
2835,-515.62,3.602385590105105,-0.0
2839,-553.99,3.3100557377508912,-0.0
2842,186.18,5.784948770260692,0.0
2843,-390.13,4.997521807234277,-2145.715
2844,-445.87,5.6377198246098335,-2452.285
2848,-483.23,2.7902851640332416,-2657.7650000000003
2849,-437.54,5.0799947857458445,-2406.4700000000003
2892,935.27,0.0,467.635
2893,897.62,0.0,448.81
2894,883.23,0.0,441.615
2895,920.44,0.0,460.22
2910,940.99,0.0,470.495
2911,920.42,0.0,460.21
2912,843.38,0.0,421.69
2913,-460.12,0.0,-230.06
2914,-425.33,0.0,-212.665
2915,933.16,0.0,466.58
2916,919.9,0.0,459.95
2947,613.33,5.301029995663981,0.0
2948,633.55,2.903089986991944,348.4525
2949,378.33,4.307880955988253,208.0815
2950,634.49,4.0,0.0
2977,734.03,2.903089986991944,403.7165
2978,339.5,3.4265112613645754,0.0
2979,318.55,2.761175813155732,0.0
2980,252.64,4.48665713133888,0.0
2981,528.97,4.6020599913279625,0.0
2982,375.36,4.460431740513778,206.44800000000004
2983,505.22,5.903089986991944,277.87100000000004
2984,-619.35,2.903089986991944,-340.64250000000004
2985,277.02,5.762692064900431,152.361
2986,-562.37,5.698970004336019,-309.30350000000004
2987,277.04,5.697374955250711,152.372
2988,-602.83,5.301029995663981,-331.5565
2989,175.83,5.679516926940339,0.0
2990,332.49,2.832508912706236,0.0
2991,724.49,3.0,0.0
3015,349.75,6.74647017899506,174.875
3016,376.13,6.503627962324396,188.065
3017,374.66,6.521091512280718,187.33
3024,365.03,6.679790807857726,182.515
3045,232.98,6.556636296659391,128.139
3051,290.27,5.609154556764665,159.6485
3052,289.46,5.041112277305815,159.203
3053,289.46,5.749266219519278,159.203
3054,298.9,5.424927349433793,164.395
3055,-358.21,6.415434457462931,-1970.155
3056,289.46,5.665297622277418,159.203
3064,286.83,5.556151677886138,157.75650000000002
3065,-583.62,6.30101501224589,-320.99100000000004
3066,-558.88,5.698955238072606,-3073.84
3067,233.98,6.347968982665645,128.689
3068,620.06,6.698962881848111,341.033
3069,233.31,6.270570773028736,128.3205
3070,231.42,6.226847524214765,127.281
3071,-554.66,5.698970004336019,-305.063
3072,-498.28,6.306378056866777,-0.0
3077,218.58,6.171679365974973,120.21900000000002
3078,229.98,6.047751745147548,126.489
3080,-561.11,5.889345409945054,-0.0
3156,381.0,6.601712525354577,190.5
3157,294.3437155,5.301029995663981,161.889043525
3158,694.1,5.300986564044174,381.75500000000005
3184,707.72,5.544009720889472,389.246
3187,761.46,5.698964792770966,0.0
3188,711.5,5.6989682671546165,391.3250000000001
3201,229.89,6.463868661843904,126.4395
3202,-473.12,3.903089986991944,-2602.16
3203,524.45,5.903019951359962,0.0
