nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,R-value1,Fmax,smax,f,E,Temp.
935,-0.1283431726797345,-0.700879321478354,-0.6806713477095928,0.04993971597406184,-0.6088933041223701,-0.17506835870388548,-0.09638976201055335,1.572809878896178,1.6211168068271633,-0.7316075175871655,0.8210348529117784,0.10680535109265465
1001,0.21681706884625546,1.5175160329461488,1.4837282481586163,0.20890181140711114,1.417593562070496,-0.17506835870388548,-0.09638976201055335,0.04023896634469387,-0.03890062508264958,-0.7316075175871655,-1.4343216587627439,0.10680535109265465
1304,0.664303576665349,1.5175160329461488,1.5007039312634654,0.17788481717627294,1.4185173518590661,-0.17506835870388548,-0.7743654093485457,-0.08875162107961124,-0.11678865130330565,0.8075589075372288,-1.3965463688831552,-0.0004467549938206606
2895,0.010637278554182493,-0.700879321478354,-0.6976470308144415,0.22053318424367618,-0.5673227636367242,-0.17506835870388548,-0.09638976201055335,1.9356108631916262,1.9630433940585903,-0.7316075175871655,0.6149878172049321,-0.09140455183009952
968,-0.38492246726542634,-0.700879321478354,-0.6976470308144415,0.282567172705354,-0.5516183372310355,-0.17506835870388548,-0.09638976201055335,-1.3796147538564236,-1.3853101886656984,-0.7316075175871655,0.7308892747900333,0.10680535109265465
1039,0.3725973548447117,1.5175160329461488,1.4922160897110412,0.15849919578199836,1.4037367152419469,-0.17506835870388548,-0.09638976201055335,-0.7904221263264807,-0.5416156318045827,-0.7316075175871655,-1.3519028444800052,0.10680535109265465
1000,0.21681706884625546,1.5175160329461488,1.4328011988440705,0.1391135743877238,1.3359921307468203,-0.17506835870388548,-0.09638976201055335,0.04550388828037981,-0.0335648795141527,-0.7316075175871655,-1.4145754845075045,0.10680535109265465
511,0.1526722451998333,-0.700879321478354,-0.765549763233836,0.15849919578199836,-0.650155914678493,-0.17506835870388548,-0.09638976201055335,-1.3930163733290786,-1.4415087556273998,-0.7316075175871655,0.6828116331251023,-0.20200439781706914
1152,0.11907257567075478,-0.700879321478354,-0.7061348723668657,0.22441030852253027,-0.5768685914519467,-0.17506835870388548,2.954500651010412,-0.883276204101305,-0.8919500605378835,1.1000005283108636,0.46302812837113266,-0.20200439781706914
944,-0.4307401984414423,-0.700879321478354,-0.6467199814998953,0.08483383448375552,-0.5636276044824444,-0.17506835870388548,-0.7743654093485457,0.4329542798201757,0.4416398546013742,0.29450343249576405,0.6806653098364894,0.07600614400810131
1206,0.1526722451998333,-0.700879321478354,-0.7570619216814118,0.23604168135909528,-0.6175153421490227,-0.17506835870388548,-0.7743654093485457,0.4365439993217797,0.456607660351963,-0.2185520425457007,0.6974066314876707,0.3679172129245305
