nr,smax,Ncycles,smean
1683,-337.14,3.187520720836463,-1854.27
1684,-264.98,6.676219009391319,-1457.39
1685,-325.0,3.362293937964231,-1787.5
1686,-274.99,5.3637454438336505,-1512.4450000000002
1687,-299.99,4.223833277236323,-1649.9450000000002
1688,-299.97,3.6238692683503024,-1649.835
1689,-350.0,2.962369335670021,-1925.0
1690,-249.98,7.007485970552654,-1374.89
1698,-438.2,0.0,-219.1
1699,-442.42,0.0,-221.21
1700,-430.16,0.0,-215.08
1701,-477.36,0.0,-238.68
1702,-463.36,0.0,-231.68
1703,-447.04,0.0,-223.52
1704,-446.4,0.0,-223.2
1705,184.71,3.51067903103221,0.0
1707,268.57,4.3979400086720375,147.7135
1708,-296.82,4.3979400086720375,-1632.51
1709,-299.55,4.3979400086720375,-1647.525
1710,276.42,4.3979400086720375,0.0
1711,278.11,4.3979400086720375,0.0
1712,279.35,4.3979400086720375,0.0
1713,236.3,3.397940008672037,0.0
1714,234.09,3.397940008672037,0.0
1715,280.23,2.54282542695918,0.0
1716,278.96,2.646403726223069,0.0
1823,472.83,0.0,236.415
1824,460.03,0.0,230.015
1825,466.21,0.0,233.105
1826,454.42,0.0,227.21
1827,473.59,0.0,236.795
1828,454.14,0.0,227.07
1829,458.02,0.0,229.01
1856,-429.57,0.0,-214.785
1857,-448.61,0.0,-224.305
1858,-454.38,0.0,-227.19
1859,-474.43,0.0,-237.215
1860,-466.4,0.0,-233.2
1861,-437.96,0.0,-218.98
1862,-464.8,0.0,-232.4
1938,400.49,2.230448921378274,220.2695
1939,355.81,2.6020599913279625,195.6955
1940,276.12,4.705007959333336,151.866
1941,336.48,2.9138138523837167,185.064
1942,213.44,6.265925747764311,117.392
1943,206.96,6.278181784567518,113.82800000000002
1944,186.55,6.619041128633543,102.60250000000002
2000,-401.64,4.3979400086720375,-0.0
2027,234.85,3.2713768718940743,0.0
2028,319.65,4.3979400086720375,0.0
2029,313.53,4.3979400086720375,0.0
2030,316.32,4.3979400086720375,0.0
2031,-309.96,3.397940008672037,-1704.78
2032,183.68,3.770557474850995,0.0
2033,337.86,4.3979400086720375,0.0
2034,339.4,4.3979400086720375,0.0
2035,231.34,2.9745116927373285,0.0
2036,-318.73,3.397940008672037,-1753.015
2037,-320.19,3.397940008672037,-1761.045
2038,343.59,3.376211850282673,188.9745
2039,-313.57,3.377124042346456,-1724.635
2040,-314.47,3.397940008672037,-1729.585
2041,-287.61,3.939219635854818,-1581.855
2042,-308.57,3.337459261290656,-1697.135
2043,-314.0,4.3979400086720375,-1727.0
2044,329.4,3.397940008672037,181.17
2045,331.31,3.397940008672037,182.2205
2046,330.87,3.397940008672037,181.97850000000005
2047,-309.53,3.258397804095509,-1702.415
2048,-310.75,3.397940008672037,-1709.125
2049,-314.93,3.397940008672037,-1732.115
2050,-315.9,5.698970004336019,-1737.4499999999998
2051,334.82,3.397940008672037,1841.51
2052,334.81,3.397940008672037,1841.455
2053,233.42,2.9057958803678687,0.0
2054,233.42,2.909020854211156,0.0
