nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,R-value1,Fmax,smax,f,E,Temp.,tens,comp
902,-1.198455160138343,-0.6734739784449117,-0.6544774241157439,-1.8170677983311396,-0.7069666719237009,-0.5968287804085799,0.505926394606625,0.5366912600765928,-0.0212676486968613,0.660821791083358,0.16696385375795283,0.5176434895753187,-0.3550270626072062
1394,0.8987978080198422,1.5569710270909394,1.3798131451351583,-0.31863942885191554,1.3534884127740763,1.8428639247258003,-1.4687592713908302,-1.0637564664184895,-1.8591330455824464,-1.4552405196404035,0.08424920160201657,-1.4894896310013135,1.9109489598940623
1082,-1.5685586251074333,-0.6734739784449117,-0.594138297061692,0.6386898072042587,-0.5699211815119694,-0.5968287804085799,0.711579973652392,0.7084301915940215,-0.689045108015418,0.4478620020297088,0.06924190184376652,0.35451294523336035,-0.9173571290942206
1951,0.1321549162981545,-0.6734739784449117,-0.7665358029304122,0.26408271483445267,-0.7533303204212022,1.8428639247258003,-1.7854657831213112,-1.8929417401216408,-0.7717785985504603,0.8412961885864506,-0.48451582566995627,0.479997979342559,-1.0862940884196568
1151,0.03522305642529767,-0.6734739784449117,-0.7492960523435401,1.8041340945769953,-0.6892393945570093,1.8428639247258003,-1.9619165539425794,-2.0459683938254236,-0.2576490502255539,0.4893711134554201,-0.49265932166280524,0.6506576257310691,-1.3527861932710485
1094,-1.7359863830696425,-0.6734739784449117,-0.6458575488223082,0.26408271483445267,-0.6306030155748754,1.8428639247258003,-2.1079305950650737,-2.165183057466806,0.23875189298470056,0.528173108918585,0.24839881368644148,0.35451294523336035,-1.047430656462162
1389,0.8987978080198422,1.5569710270909394,1.3022342674942342,0.3473287353610746,1.3091702193573476,-0.5968287804085799,-0.021369382066721725,-0.13686955996600011,-1.3745511724486266,-1.5129923268413932,0.08424920160201657,-1.4822742415400347,1.2145797097169135
1316,-0.7975097397551589,-0.6734739784449117,-0.6975768005829244,0.13921368404451243,-0.6912848496377816,-0.5968287804085799,0.711579973652392,0.7474377815699726,-0.689045108015418,0.6332994454641364,0.08424920160201657,0.6559907396807101,-0.3407506998473102
1797,1.5773208271298464,-0.42564675560759496,1.3625733945482865,0.5554437866776368,1.382124783904886,-0.35285950989514187,1.4897731167615744,0.8210285834704921,-0.9845218599262837,0.48576162550535773,0.2321118217007438,0.16816766958120047,-1.567724765933927
1950,0.1321549162981545,-0.6734739784449117,-0.7579159276369763,0.0559676635178905,-0.7509439561603016,1.8428639247258003,-1.9014544017031239,-2.015078928714395,-0.9372455796205451,0.7853491253604915,-0.48451582566995627,0.7134001427856684,-1.068052069337567
1772,1.6081627825439344,1.5569710270909394,1.4660118980695183,0.5138207764143184,1.4803066277819483,-0.5968287804085799,-0.20152191731081365,-0.25555654549116236,1.6097640218511178,-1.3659056928763724,0.08424920160201657,-1.447138431989459,0.9361906358989419
3202,0.26874071884626954,-0.6734739784449117,-0.7837755535172843,0.6386898072042587,-0.7710575977878942,1.8428639247258003,-2.1083419022231658,-2.247784977967389,0.6110526003923916,0.8006894491482552,0.4194122295362677,1.3787845361496944,-0.6992460313735875
1158,-0.9693434913479517,-0.6734739784449117,-0.7061966758763601,-1.6089527470145775,-0.7509439561603016,-0.5968287804085799,0.3693724181202357,0.40331046854592145,0.6819670208509995,0.6066794718324301,0.5154376197852772,0.400942407853764,-0.4216500888200544
1627,0.317206648782698,1.5569710270909394,1.5349709004170065,1.5127730227338112,1.6054202968891755,-0.35285950989514187,-0.11226826400495075,-0.20258578074754516,0.049646771761746554,-1.5138946988289084,-0.5822377775841425,-1.450902983012735,0.831497308993038
1091,-0.7975097397551589,-0.6734739784449117,-0.714816551169796,0.4721977661510149,-0.692648486358296,1.8428639247258003,-2.1391899390800306,-2.2330099907132306,0.10874212214391976,0.6779668588461516,0.08424920160201657,0.6559907396807101,-0.3407506998473102
670,-0.3040384531297044,-0.6734739784449117,-0.7492960523435401,-1.6505757572778958,-0.7942394220366445,-0.5968287804085799,0.9172335526981591,1.0050664741582778,-1.2799986118371496,0.6563099311457803,-0.05294103803395837,0.5088595371876747,-0.21226343500824651
469,0.1321549162981545,-0.6734739784449117,-0.6630972994091802,-0.4018854493785375,-0.6711712080101889,-0.35285950989514187,1.0188264207467679,1.0599044076208273,1.083815403449777,0.6265316555577701,-0.05294103803395837,0.5766214556066419,-0.6746589621759886
