nr,taverage,waverage,area,Lnominal,R-value1,smax,Ncycles,smean
839,6.76,25.33,171.23,150.0,-1.0,250.01,3.185825359612962,0.0
840,6.68,25.25,168.67,150.0,-1.0,184.98,4.689681712690806,0.0
876,6.52,24.57,160.2,150.0,0.0,577.6,0.0,288.8
877,6.5,25.0,162.5,150.0,0.0,517.42,0.0,258.71
986,6.78,25.35,171.82,150.0,0.0,525.91,0.0,262.955
987,6.79,25.38,172.33,150.0,0.0,511.17,0.0,255.585
988,6.61,25.29,167.24,150.0,0.0,520.32,0.0,260.16
989,6.77,25.27,171.1,150.0,0.0,520.81,0.0,260.405
990,6.67,25.32,168.96,150.0,0.0,513.61,0.0,256.805
991,6.55,25.41,166.49,150.0,0.0,-445.67,0.0,-222.835
992,6.84,25.31,173.2,150.0,0.0,-446.55,0.0,-223.275
993,6.73,25.1,168.9,150.0,0.0,-452.75,0.0,-226.375
994,6.92,25.1,173.75,150.0,0.0,-431.2,0.0,-215.6
995,6.83,25.26,172.47,150.0,0.0,-443.79,0.0,-221.895
996,6.85,25.38,173.76,150.0,0.0,-442.34,0.0,-221.17
1049,6.74,25.33,170.72,150.0,0.1,400.0,2.8870543780509568,220.00000000000003
1050,6.64,25.3,167.99,150.0,0.1,390.02,2.9978230807457256,214.511
1051,6.68,25.28,168.87,150.0,0.1,390.0,3.011993114659257,214.50000000000003
1052,6.77,25.21,170.67,150.0,0.1,389.99,3.0707764628434346,214.49450000000002
1053,6.67,25.09,167.35,150.0,0.1,375.02,3.189770956346874,206.261
1054,6.68,25.31,169.07,150.0,0.1,299.99,4.13325141247232,164.99450000000002
1055,6.68,25.28,168.87,150.0,0.1,260.02,4.852736103053581,143.011
1056,6.68,25.22,168.47,150.0,0.1,259.99,4.76077671115636,142.99450000000002
1057,6.65,25.37,168.71,150.0,0.1,259.97,4.629175057540406,142.98350000000002
1058,6.73,25.25,169.93,150.0,0.1,249.98,4.85861538759796,137.489
1059,6.66,25.26,168.23,150.0,0.1,195.27,6.184549481320698,107.39850000000001
1060,6.66,25.21,167.9,150.0,0.1,195.0,6.190549351242087,107.25000000000001
1061,6.66,25.29,168.43,150.0,0.1,194.98,6.009965624808384,107.239
1062,6.73,25.28,170.13,150.0,0.1,159.99,6.713273005368654,87.99450000000002
1063,6.78,25.19,170.85,150.0,-1.0,234.12,3.3203540328176717,0.0
1064,6.78,25.24,171.07,150.0,-1.0,233.83,2.60422605308447,0.0
1065,6.75,25.28,170.53,150.0,-1.0,263.88,2.3820170425748683,0.0
1066,6.72,25.22,169.56,150.0,-1.0,265.39,2.429752280002408,0.0
1067,6.7,25.2,168.78,150.0,-1.0,177.75,4.9217384836845985,0.0
1068,6.7,25.24,169.02,150.0,-1.0,177.49,4.8924007280628645,0.0
1069,6.68,25.2,168.36,150.0,-1.0,148.49,5.556681136961934,0.0
1070,6.69,25.3,169.32,150.0,-1.0,147.65,3.4099331233312946,0.0
1071,6.78,25.19,170.73,150.0,-1.0,146.43,5.6786339934175025,0.0
1072,6.72,25.24,169.51,150.0,-1.0,117.99,6.210390227350943,0.0
1073,6.75,25.13,169.73,150.0,-1.0,117.83,6.434524993364955,0.0
1196,6.86,25.28,173.34,150.0,0.0,504.37,0.0,252.185
1197,6.77,25.26,171.09,150.0,0.0,508.17,0.0,254.085
1198,6.86,25.45,174.59,150.0,0.0,514.53,0.0,257.265
1199,6.77,25.27,171.15,150.0,0.0,504.58,0.0,252.29
1200,6.84,25.26,172.78,150.0,0.0,522.0,0.0,261.0
1201,6.79,25.18,170.9,150.0,0.0,-402.76,0.0,-201.38
1202,6.7,25.3,169.56,150.0,0.0,-429.29,0.0,-214.645
1203,6.8,25.24,171.68,150.0,0.0,-450.42,0.0,-225.21
