nr,taverage,waverage,area,Lnominal,R-value1,smax,Ncycles,smean,smin
2158,6.45,25.04,161.38,150.0,-1.0,283.57,2.558708570533166,0.0,-283.57
2159,6.48,25.12,162.52,150.0,-1.0,186.58,4.224481265303632,0.0,-186.58
2160,6.61,25.26,166.7,150.0,-1.0,182.79,4.71218654396046,0.0,-182.79
2161,6.64,25.26,167.4,150.0,-1.0,233.35,3.1789769472931693,0.0,-233.35
2162,6.69,25.18,168.25,150.0,-1.0,132.88,5.912473417424488,0.0,-132.88
2163,6.7,25.25,168.71,150.0,-1.0,180.4,3.8069935136821074,0.0,-180.4
2164,6.71,25.19,168.7,150.0,-1.0,180.23,5.052347599224664,0.0,-180.23
2165,6.73,25.18,169.33,150.0,-1.0,230.19,3.0989896394011773,0.0,-230.19
2166,6.74,25.19,169.45,150.0,-1.0,268.83,2.6127838567197355,0.0,-268.83
2167,6.75,25.26,170.37,150.0,-1.0,179.11,4.614053105987219,0.0,-179.11
2168,6.77,25.18,170.14,150.0,-1.0,270.21,3.5921767573958667,0.0,-270.21
2169,6.83,25.09,171.16,150.0,-1.0,226.7,3.830203598925704,0.0,-226.7
2170,6.85,25.02,171.32,150.0,-1.0,226.21,2.973589623427257,0.0,-226.21
2171,6.3,25.19,158.51,150.0,-0.4,243.91,3.8374621714859947,73.173,-97.564
2172,6.36,25.13,159.51,150.0,-0.4,170.84,5.002938893242647,51.252,-68.336
2173,6.37,25.14,159.89,150.0,-0.4,171.23,4.878562006091662,51.36899999999999,-68.492
2174,6.54,25.41,165.79,150.0,-0.4,306.53,3.3188977146274867,91.95899999999999,-122.612
2175,6.58,25.2,165.75,150.0,-0.4,233.99,4.292100938480419,70.197,-93.596
2176,6.61,25.33,167.11,150.0,-0.4,164.4,5.7544721837301305,49.32,-65.76
2177,6.61,25.35,167.43,150.0,-0.4,232.75,4.361746717975897,69.825,-93.1
2178,6.67,25.36,168.89,150.0,-0.4,230.78,4.503477442436995,69.234,-92.31200000000001
2179,6.67,25.25,168.28,150.0,-0.4,187.04,5.696915281411643,56.111999999999995,-74.816
2180,6.69,25.32,169.19,150.0,-0.4,229.65,4.421965688225113,68.895,-91.86000000000001
2181,6.73,25.34,170.27,150.0,-0.4,297.94,3.7204074008031087,89.38199999999999,-119.17600000000002
2182,6.75,25.23,169.84,150.0,-0.4,161.04,6.1272282630504025,48.312,-64.416
2183,6.77,25.19,170.21,150.0,-0.4,227.14,4.786353846576918,68.142,-90.856
2184,6.8,25.28,171.57,150.0,-0.4,295.21,3.5471591213274176,88.56299999999999,-118.084
2185,6.43,25.21,161.85,150.0,0.1,346.35,3.330210784571528,190.49250000000004,34.63500000000005
2186,6.71,25.08,167.89,150.0,0.1,263.44,4.9932598314367365,144.89200000000002,26.34400000000005
2286,6.37,25.12,160.01,150.0,-0.4,249.98,3.878923733967567,74.994,-99.99199999999999
2287,6.3,25.1,158.13,150.0,-0.4,225.0,4.116275587580544,67.5,-90.0
2288,6.41,25.22,161.66,150.0,-0.4,159.66,4.035949779536674,47.897999999999996,-63.864000000000004
2289,6.43,25.23,162.23,150.0,-0.4,183.51,4.843650048599647,55.053,-73.404
2290,6.42,25.28,162.3,150.0,-0.4,168.21,5.066255090442671,50.463,-67.284
2291,6.65,25.22,167.71,150.0,-0.4,150.38,6.363288112367281,45.114,-60.152
2292,6.6,25.2,166.32,150.0,-0.4,330.27,3.3550682063488506,99.08099999999999,-132.108
2293,6.68,25.27,168.8,150.0,-0.4,279.91,4.161936705245781,83.973,-111.96400000000003
2294,6.63,25.22,167.21,150.0,-0.4,239.82,4.566425706567533,71.946,-95.928
2295,6.64,25.33,168.19,150.0,-0.4,213.86,5.015598635505834,64.158,-85.54400000000001
2297,6.75,25.27,170.57,150.0,-0.4,210.0,4.795038408286419,63.0,-84.0
2298,6.68,25.28,168.85,150.0,-1.0,133.2,5.287187911368403,0.0,-133.2
2299,6.73,25.26,169.99,150.0,-1.0,132.13,5.365458032514468,0.0,-132.13
2300,6.74,25.19,169.78,150.0,-1.0,179.53,4.2534833920870145,0.0,-179.53
2301,6.72,25.21,169.27,150.0,-1.0,180.09,4.5009770535891995,0.0,-180.09
2302,6.72,25.17,169.02,150.0,10.0,-26.199,4.998097974154078,-144.0945,-261.99
2303,6.66,25.26,168.29,150.0,0.1,196.56,5.727476189310718,108.108,19.656000000000006
2304,6.67,25.23,168.18,150.0,0.1,265.42,3.804275767129094,145.98100000000002,26.54200000000003
2305,6.7,25.19,168.64,150.0,0.1,264.2,4.566284254084595,145.31,26.420000000000016
2307,6.71,24.99,167.64,150.0,0.1,195.18,5.673945679080203,107.34900000000002,19.51800000000003
2308,6.63,25.17,166.66,150.0,0.1,197.59,5.55870137222243,108.67450000000001,19.759000000000015
