nr,taverage,waverage,area,Lnominal,R-value1,Fmax,smax,Ncycles,smean
524,6.63,25.21,167.14,150.0,0.0,-79.3,-474.45,0.0,-237.225
525,6.66,25.12,167.3,150.0,0.0,91.0,543.94,0.0,271.97
526,6.62,25.01,165.57,150.0,0.0,95.7,578.02,0.0,289.01
527,6.62,25.32,167.62,150.0,0.0,96.3,574.52,0.0,287.26
528,6.66,25.24,168.1,150.0,0.0,92.7,551.46,0.0,275.73
529,6.54,25.07,163.96,150.0,0.0,89.8,547.7,0.0,273.85
530,6.64,25.18,167.2,150.0,0.0,-85.0,-508.39,0.0,-254.195
531,6.62,25.16,166.56,150.0,0.0,-84.0,-504.33,0.0,-252.165
532,6.54,25.16,164.55,150.0,0.0,-78.0,-474.03,0.0,-237.015
533,6.6,25.2,166.32,150.0,0.0,-86.0,-517.08,0.0,-258.54
534,6.56,25.2,165.31,150.0,0.0,-89.1,-538.98,0.0,-269.49
535,6.75,25.29,170.62,150.0,-1.0,45.0,263.74,2.423245873936808,0.0
536,6.8,25.21,171.43,150.0,-1.0,35.0,204.17,2.6464037262230695,0.0
537,6.82,25.27,172.23,150.0,-1.0,30.0,174.18,2.8715729355458786,0.0
538,6.79,25.2,171.13,150.0,-1.0,30.0,175.3,3.0572856444182146,0.0
539,6.79,25.24,171.36,150.0,-1.0,25.0,145.89,3.1470576710283598,0.0
540,6.76,25.23,170.55,150.0,-1.0,25.0,146.58,3.4658288153574364,0.0
541,6.82,25.23,171.98,150.0,-1.0,20.0,116.29,3.9107310980433807,0.0
542,6.76,25.07,169.58,150.0,-1.0,20.0,117.94,4.0713664367591305,0.0
543,6.76,25.2,170.41,150.0,-1.0,19.0,111.49,3.9546765869186435,0.0
544,6.79,25.24,171.46,150.0,-1.0,18.0,104.98,6.48505812437859,0.0
545,6.75,25.02,168.91,150.0,-1.0,18.0,106.57,6.667145101801253,0.0
546,6.81,25.23,171.73,150.0,-1.0,17.0,98.99,6.858764330721243,0.0
605,6.72,24.78,166.52,300.0,0.0,90.64,544.3,0.0,272.15
606,6.78,24.76,167.87,300.0,0.0,94.24,561.36,0.0,280.68
607,6.72,24.72,166.12,300.0,0.0,93.69,564.0,0.0,282.0
608,6.73,24.69,166.16,300.0,0.0,86.98,523.43,0.0,261.715
609,6.53,24.72,161.42,300.0,0.0,88.14,545.99,0.0,272.995
610,6.64,24.64,163.61,300.0,0.0,93.63,572.26,0.0,286.13
611,6.66,24.72,164.64,300.0,0.0,77.21,468.98,0.0,234.49
612,6.66,24.6,163.84,300.0,0.0,95.95,585.63,0.0,292.815
